"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"서울특별시","종로구",계,-2782,2206,-1611,-1674,-1622,-2224,-1433,-1463,-653,-816
"서울특별시","중구",계,-1060,330,-102,239,-956,-1209,-727,1226,-440,-2615
"서울특별시","용산구",계,-4491,-1468,-462,-574,1297,-3561,-1279,-5231,-8904,-1914
"서울특별시","성동구",계,643,4385,2346,-8180,-7943,-6244,-4015,-3685,-3832,565
"서울특별시","광진구",계,-5084,-637,-3046,-4897,-4777,-5228,-1210,-1548,-3258,-592
"서울특별시","동대문구",계,-6031,-4834,-2706,-2000,-3227,-2076,1166,5370,-1767,7957
"서울특별시","중랑구",계,-4257,-3562,-5448,-6486,-1998,-5090,-160,-2346,-2123,-1589
"서울특별시","성북구",계,-10396,-6936,-8330,6672,-5278,-3340,2039,-4072,-3224,1714
"서울특별시","강북구",계,-4156,-2578,-4859,-4576,-5031,-5904,-3121,-4050,-3001,-3246
"서울특별시","도봉구",계,-3771,-4295,-4695,-5780,-7457,-5787,-3567,-3697,-2591,-2214
"서울특별시","노원구",계,-8927,-14082,-10881,-10912,-9531,-9737,-4875,-4591,-5977,-6893
"서울특별시","은평구",계,-8061,-5235,-4030,-3322,199,-3682,-3523,1271,-4625,-4812
"서울특별시","서대문구",계,916,-1752,-2623,-948,2925,-4577,3574,445,-2862,-2426
"서울특별시","마포구",계,-10151,-6199,-844,-1807,-2452,-581,-2448,-771,-2142,-4026
"서울특별시","양천구",계,-9019,-7932,-7835,-6477,-3940,-5490,-4753,-4349,-4416,-5421
"서울특별시","강서구",계,2841,3734,-6582,-6539,-12375,-4099,-3444,-5898,-6651,-6280
"서울특별시","구로구",계,-7190,-8595,-7435,1125,-3139,-6710,-489,-2835,-4392,-4365
"서울특별시","금천구",계,-1658,-677,-1714,-1312,-1210,616,-217,-1801,-1965,-1406
"서울특별시","영등포구",계,-10477,-3417,-2246,-1379,10783,-543,-292,-1031,-1366,-3151
"서울특별시","동작구",계,-1818,-6029,-1006,-879,-5154,-4054,-3248,-1555,-2815,-3904
"서울특별시","관악구",계,-4981,-4640,-2074,-2205,-4925,-5955,3452,-3705,-3132,605
"서울특별시","서초구",계,-3183,-7894,-8831,-4299,-6419,-11713,-6066,3179,373,5684
"서울특별시","강남구",계,-13591,-12893,-15191,1841,-6257,-4024,-1503,15585,11889,-1728
"서울특별시","송파구",계,-7000,3718,-426,6972,-9529,-8470,2126,-4918,-4504,-7588
"서울특별시","강동구",계,-16573,-9204,-9599,7809,23166,3439,-1327,-780,17686,21692
"부산광역시","중  구",계,-489,-795,-1253,-591,-99,145,-305,-710,-708,-575
"부산광역시","서  구",계,-2671,-2356,1100,-1693,585,-962,1216,-247,-77,-430
"부산광역시","동  구",계,-1939,-514,-1462,1746,1230,-151,-64,1932,-1237,-1417
"부산광역시","영도구",계,-2602,-2249,-2696,-2574,-2479,-569,-1079,-575,-1756,-1129
"부산광역시","부산진구",계,-5557,-4688,-8981,-3819,3023,-3640,4681,4821,1027,7128
"부산광역시","동래구",계,-599,-2011,-3910,4918,-248,-2632,7659,-1603,4171,-575
"부산광역시","남  구",계,-4513,-4818,6489,-4994,-5943,-3849,-4157,-998,1333,-2794
"부산광역시","북  구",계,-1259,-7798,-6184,-5665,-6755,357,-3284,-4464,-4996,-3944
"부산광역시","해운대구",계,-3914,-8014,-2480,-3060,-3678,-3984,-7455,-5117,-2669,-2493
"부산광역시","사하구",계,-3913,-1299,-5309,-6319,-8391,-3612,-2127,-2852,-3888,-4738
"부산광역시","금정구",계,-1330,111,-966,-3324,-5252,-2684,-5078,-4379,-4331,-1995
"부산광역시","강서구",계,13159,7276,4486,5672,7636,4619,-160,-1203,111,7105
"부산광역시","연제구",계,-3910,-633,1040,1535,18,-837,-2680,3002,7315,-429
"부산광역시","수영구",계,-851,589,-3626,135,1179,-871,523,369,-1950,-2044
"부산광역시","사상구",계,-5278,-3639,-5788,-4912,-4856,-3049,-3001,142,-3324,-3476
"부산광역시","기장군",계,4274,2440,2781,-409,9683,2816,1749,450,-2678,-375
"대구광역시","중  구",계,-1412,-697,451,-1925,-700,-1262,6033,8938,8514,3080
