시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
K10,강원특별자치도교육청,강릉시,교습소,3000013422,3030영어홍제러닝센터교습소,20200406,20200406,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,영어(고등),보통교과,"영어(고등):350000, 영어(초등)A:190000, 영어(초등)ㅠ:240000, 영어(중등):250000",Y,N,강원특별자치도 강릉시 토성로 110,", 2층 (홍제동)",25535,,20251207
K10,강원특별자치도교육청,강릉시,교습소,3000010602,Apex(에이펙스)영어교습소,20120803,20120803,개원,        ,99991231,72,9,입시.검정 및 보습,,영어(초),,"영어(초):230000, 영어(중):250000, 영어(고):280000",Y,N,강원특별자치도 강릉시 성덕로 316-15,", 2층 (아안타운상가) (입암동)",25616,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000013806,Booksie English(북시 잉글리시)영어교습소,20210928,20210928,개원,        ,99991231,36,9,국제화,,영어A,,"영어A:200000, 영어B:250000, 영어C:300000",Y,N,강원도 강릉시 성덕포남로 22-4,", 105호 (입암동)",25577,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000013247,EDI수학교습소,20191101,20191028,개원,        ,99991231,14,7,입시.검정 및 보습,,수학 초등,,"수학 초등:170000, 수학 중등:250000",Y,N,강원특별자치도 강릉시 원대로 112,", 202호 (교동, 부영아파트 상가)",25500,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000013941,E수학교습소,20220224,20220224,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,수학(초A),보습,"수학(초A):190000, 수학(초B):110000, 수학(초D):140000, 수학(초C):230000, 수학중등:250000",Y,N,강원특별자치도 강릉시 성덕포남로 40,", 2층 1호 (입암동)",25577,,20250427
K10,강원특별자치도교육청,강릉시,교습소,3000013040,SEL영어교습소,20190225,20190225,개원,        ,99991231,15,9,입시.검정 및 보습,,영어(초등),,"영어(초등):230000, 영어(중등):240000, 영어(고등):250000",Y,N,강원특별자치도 강릉시 율곡초교길39번길 19-4,", SEL영어교습소 (교동)",25513,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000010909,UP & UP English 영어교습소,20130417,20130417,개원,        ,99991231,3,9,입시.검정 및 보습,보통교과,영어,보습, ,Y,N,강원특별자치도 강릉시 옥천로 25,(옥천동),25554,033-641-3462,20231226
K10,강원특별자치도교육청,강릉시,교습소,9774,강남점삼성영어교습소,20091204,20091204,개원,        ,99991231,15,5,국제화,외국어,영어회화(초),실용외국어(유아/초·중·고),"영어회화(초):190000, 영어회화(중):220000, 영어회화(고):250000",Y,N,강원특별자치도 강릉시 노암길42번길 29-1,", 1층 (노암동)",25591,033-647-3405,20240317
K10,강원특별자치도교육청,강릉시,교습소,3000013497,강수학교습소,20200804,20200804,개원,        ,99991231,12,4,입시.검정 및 보습,,수학(초등),,"수학(초등):180000, 수학(중등):210000, 수학(고등):250000",Y,N,강원특별자치도 강릉시 토성로 94,", 1층 (홍제동)",25535,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000014232,경희피아노음악교습소,20230308,20230320,개원,        ,99991231,36,36,예능(대),,피아노입시A,,"피아노입시A:170000, 피아노입시B:150000, 피아노입시C:130000, 피아노입시D:100000",Y,N,강원특별자치도 강릉시 남산초교길 20,", 1층 (내곡동)",25597,,20231018
K10,강원특별자치도교육청,강릉시,교습소,3000020487,고래영어명주점영어교습소,20251201,20251118,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,강원특별자치도 강릉시 강변로 74-13,(회산동),25600,,20260201
K10,강원특별자치도교육청,강릉시,교습소,3000020548,과학나라과학교습소,20260212,20260206,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,강원특별자치도 강릉시 율곡초교길39번길 24,1층(교동),25513,,20260215
K10,강원특별자치도교육청,강릉시,교습소,3000014342,곽쌤수학교습소,20230629,20230629,개원,        ,        ,0,0,입시.검정 및 보습,보통교과,초등수학A,보통교과,"초등수학A:190000, 초등수학B:205000, 중등수학:226800, 고등수학:248400",Y, ,강원특별자치도 강릉시 선수촌로63번길 14-16,2층 207호,25522,,20240616
K10,강원특별자치도교육청,강릉시,교습소,3000016630,그레이스피아노교습소,20240603,20240603,개원,        ,        ,0,5,예능(대),예능(중),피아노(초급)A,음악,"피아노(초급)A:150000, 피아노(초급)B:140000, 피아노(초급)C:130000, 피아노(초급)D:120000, 피아노(중급)A:170000, 피아노(중급)B:150000, 피아노(고급)A:180000, 피아노(고급)B:160000, 피아노(입시):250000",Y, ,강원특별자치도 강릉시 성덕포남로 21-7,"(입암동) ,103호",25616,,20260201
K10,강원특별자치도교육청,강릉시,교습소,3000010571,그린물감미술교습소,20120703,20240214,개원,        ,99991231,42,3,예능(대),예능(중),미술(초등)1,미술,"미술(초등)1:100000, 미술(초등)2:120000, 미술(초등)3:160000, 미술(초등)4:190000, 미술(초등)5:210000, 미술(중등일반)1:130000, 미술(중등일반)2:160000, 미술(중등입시)1:120000, 미술(중등입시)2:240000, 미술(중등입시)3:320000, 미술(중등입시)4:400000, 미술(중등입시)5:500000, 성인A:110000, 성인B:170000",Y,N,강원특별자치도 강릉시 원대로128번길 14,", 208호 (교동,현대 하이빌 아파트)",25500,033-642-2226,20240303
