시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
S10,경상남도교육청,거제시,교습소,3000016277,3030연초러닝센터영어교습소,20170313,20170313,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:200000, 중등영어:220000, 고등영어:320000",Y,N,경상남도 거제시 연초면 거제북로 45,", 3층 301호 (연초면)",53212,null,20250831
S10,경상남도교육청,거제시,교습소,3000018012,3030영어교습소,20181212,20181212,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,파닉스반,보습,"파닉스반:170000, 초등 초급반:190000, 초등 중급반:210000, 초등 고급반:210000, 중등 고급반:230000, 중등 심화반:230000",Y,N,경상남도 거제시 아주2로 117,", 301호 (아주동)",53307,055-687-3033,20231018
S10,경상남도교육청,거제시,교습소,3000032331,3030영어아이파크2차위드채쌤점교습소,20250205,20250205,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,경상남도 거제시 수양로 110,"거제2차아이파크 1단지 601동B204호(양정동,거제2차 IPARK)",53337,,20251123
S10,경상남도교육청,거제시,교습소,3000040281,ITC영어거제수월점영어교습소,20260514,20260513,개원,        ,        ,0,9,국제화,,,, ,Y, ,경상남도 거제시 제산로3길 14,2층 일부(양정동),53241,,20260517
S10,경상남도교육청,거제시,교습소,3000020178,KO수학교습소,20210622,20210622,개원,        ,99991231,72,9,입시.검정 및 보습,보통교과,중등 수학1,보습,"중등 수학1:250000, 중등 수학2:300000, 중등 수학3:350000, 중등 수학4:200000, 중등 수학5:400000, 고등 수학1:300000, 고등 수학2:350000, 고등 수학3:400000, 고등 수학4:450000, 고등 수학5:500000, 고등 수학6:550000, 고등 수학7:600000",Y,N,경상남도 거제시 수양로 460,", 401호 (수월동)",53237,null,20251109
S10,경상남도교육청,거제시,교습소,3000031995,K수학교습소,20240827,20240827,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학 Ⅰ,보습,"초등수학 Ⅰ:200000, 초등수학 Ⅱ:200000, 초등수학 Ⅲ:250000, 중등수학 Ⅰ:250000, 중등수학 Ⅱ:250000, 중등수학 Ⅲ:300000, 고등수학 Ⅰ:250000, 고등수학 Ⅱ:300000, 고등수학 Ⅲ:400000, 고등수학 Ⅳ:500000",Y,N,경상남도 거제시 상동5길 56,(상동동)C203호(더샵거제디클리브상가 303동),53294,,20260308
S10,경상남도교육청,거제시,교습소,3000011989,M.M수학교습소,20130115,20130117,개원,        ,99991231,39,9,입시.검정 및 보습,보통교과,초등수학,보습, ,Y,N,경상남도 거제시 능포로2길 38,", 상가 1동 207호 (능포동, 옥명대우아파트)",53315,,20231018
S10,경상남도교육청,거제시,교습소,3000020817,YBO영어교습소,20220228,20220228,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,영어,보습,"영어:100000, 영어:100000",Y,N,경상남도 거제시 장승포1로1길 5,", 201호 (장승포동)",53320,null,20241006
S10,경상남도교육청,거제시,교습소,3000019398,가음피아노교습소,20200629,20200629,개원,        ,99991231,6,3,예능(대),예능(중),피아노 초급 주5회,음악,"피아노 초급 주5회:120000, 피아노 초급 주3회:70000, 피아노 중급 주5회:130000, 피아노 중급 주3회:80000, 피아노 초급 주말반 주1회:25000",Y,N,경상남도 거제시 동부면 동부로 1,", 1층 (동부면)",53331,null,20240317
S10,경상남도교육청,거제시,교습소,3000020213,고등영어교습소,20210709,20210708,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,,보습,"초등영어:200000, 중등영어:250000, 고등영어:300000, 중등1학년반:200000, 초등 기본반:200000, 초등 심화반:150000",Y,N,경상남도 거제시 수양로 508,", 3층 301호 (양정동)",53236,,20240804
