시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
R10,경상북도교육청,경산시,교습소,3000015300,3030유니스영어교습소,20181031,20181031,개원,        ,99991231,42,7,입시.검정 및 보습,보통교과,중등영어A,보습,"중등영어A:260000, 중등영어B:250000, 중등영어C:260000, 중등영어D:240000, 초등영어A:180000, 초등영어B:200000, 초등영어C:220000, 초등영어D:180000, 초등영어E:200000",Y,N,경상북도 경산시 펜타힐즈2로 37,", 407호 (중산동)",38662,053-817-3330,20250504
R10,경상북도교육청,경산시,교습소,3000016801,ERC영어독서클럽중산하늘채영어교습소,20210713,20210713,개원,        ,99991231,18,6,국제화,외국어,중등영어A,실용외국어(유아/초·중·고),"중등영어A:220000, 중등영어B:220000, 초등영어A:140000, 초등영어B:180000, 중등영어C:70000, 고등영어A:280000, 고등영어B:140000",Y,N,경상북도 경산시 경산로 280,", 33호, 1층 (중산동, 중산 하늘채 더퍼스트)",38658,null,20250504
R10,경상북도교육청,경산시,교습소,3000019966,JumpStart점프스타트영어교습소,20230822,20230822,개원,        ,        ,0,8,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:180000, 초등영어B:230000, 중등영어A:240000, 중등영어B:250000",Y, ,경상북도 경산시 백양로 181-1,부영그린마을 상가동 201호(사동),38597,,20260412
R10,경상북도교육청,경산시,교습소,3000020120,MK수학교습소,20231215,20231215,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,경상북도 경산시 하양읍 서사도리4로 5,508호,38409,,20231224
R10,경상북도교육청,경산시,교습소,3000017208,NE-능률영어교습소,20220310,20220310,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,영어(초등A),보습,"영어(초등A):180000, 영어(초등B):190000, 영어(중등A):220000, 영어(중등B):230000, 영어(중등심화):250000, 영어(고등):310000",Y,N,경상북도 경산시 압량읍 압독2로8길 6,", 1층 (압량읍)",38538,,20231018
R10,경상북도교육청,경산시,교습소,3000022058,RnC(알앤씨)영어교습소,20241120,20241120,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):250000, 영어(중등):280000, 영어(고등):320000",Y, ,경상북도 경산시 펜타힐즈2로 46,"401동 201호(중산동,펜타힐즈더샵2차 근린생활시설))",38662,,20250504
R10,경상북도교육청,경산시,교습소,3000020186,Son's Piano피아노교습소,20240131,20240131,개원,        ,        ,0,5,예능(대),예능(중),피아노(초급),음악,"피아노(초급):150000, 피아노(중급):160000, 피아노(고급):165000",Y, ,경상북도 경산시 펜타힐즈2로 24,", 204호 (중산동)",38668,,20250504
R10,경상북도교육청,경산시,교습소,3000017126,YBM리딩클럽영어교습소,20220127,20220127,개원,        ,99991231,10,5,입시.검정 및 보습,보통교과,중등영어,보습,"중등영어:230000, 초등영어(저):200000, 초등영어(고):210000",Y,N,경상북도 경산시 하양읍 대학로296길 7,", 2층 7,8호 (하양읍)",38438,null,20250504
R10,경상북도교육청,경산시,교습소,3000020104,YBM위드영영어교습소,20231124,20231124,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,중등반A,보습,"중등반A:180000, 초등A:190000, 초등B:205000, 초등C:90000, 초등D:130000, 중등반B:220000",Y, ,경상북도 경산시 대학로16길 22-1,1층(정평동),38655,,20250713
R10,경상북도교육청,경산시,교습소,3000012648,경대솔로몬수학교습소,20141110,20141110,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,초등수학1,보습,"초등수학1:160000, 중등수학1:190000, 중등수학2:270000, 고등수학1:270000, 고등수학2:320000, 초등수학2:130000",Y,N,경상북도 경산시 경청로218길 10-10,", 1층 (백천동)",38650,null,20250504
R10,경상북도교육청,경산시,교습소,3000026090,경산김정애바이올린교습소,20250331,20250331,개원,        ,        ,0,7,예능(대),예능(중),바이올린A,음악,"바이올린A:140000, 바이올린B:160000, 바이올린C:180000, 바이올린D(앙상블):40000",Y, ,경상북도 경산시 경산로16길 10,1층(옥곡동),38686,,20250504
R10,경상북도교육청,경산시,교습소,12799,경산바둑교습소,20091218,20091218,개원,        ,99991231,63,9,기타(대),기타(중),바둑(선수A반),바둑,"바둑(선수A반):200000, 바둑(고급반):150000, 바둑(중급반):120000, 바둑(초급반):110000, 바둑(기초A반):100000, 바둑(기초B반):90000, 바둑(선수B반):180000",Y,N,경상북도 경산시 경산로7길 14,",  401호 (옥곡동)",38687,,20250511
R10,경상북도교육청,경산시,교습소,3000013937,계명음악교습소,20161024,20161024,개원,20241001,20250302,51,9,예능(대),예능(중),피아노(고급1),음악,"피아노(고급1):120000, 피아노(초급2):130000, 바이올린(초급1):120000, 바이올린(초급2):140000, 피아노(초급1):100000, 피아노(중급1):110000, 피아노(중급2):140000, 피아노(고급2):150000, 바이올린(중급1):130000, 바이올린(고급1):140000, 바이올린(중급2):150000, 바이올린(고급2):160000",Y,N,경상북도 경산시 성암로9길 32,", 102호 (옥산동)",38672,,20260215
R10,경상북도교육청,경산시,교습소,3000012004,고대영어교습소,20131114,20131114,개원,        ,99991231,27,9,입시.검정 및 보습,,영어(초등),,"영어(초등):200000, 영어(중등):240000, 영어(고등):280000",Y,N,경상북도 경산시 성암로21길 63,", 상가동 107호 (중산동, 경남신성아파트 유치원)",38659,,20231018
R10,경상북도교육청,경산시,교습소,3000026362,고래영어압량영어교습소,20251224,20251224,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,경상북도 경산시 압량읍 압독3로2길 14,", 102호",38538,,20260125
R10,경상북도교육청,경산시,교습소,3000015741,고트수학교습소,20190516,20190516,개원,        ,99991231,7,7,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:100000, 초등수학B:110000, 초등수학C:120000, 초등수학D:130000, 초등수학E:140000, 초등수학F:150000, 초등수학G:160000, 초등수학H:170000, 초등수학I:180000, 초등수학J:190000, 초등수학K:200000, 초등수학L:210000, 초등수학M:220000, 초등수학N:230000, 초등수학O:240000, 초등수학P:250000, 초등수학Q:260000, 초등수학R:270000, 초등수학S:280000, 초등수학T:290000, 초등수학U:300000",Y,N,경상북도 경산시 경산로13길 3-4,(옥곡동),38687,,20250504
R10,경상북도교육청,경산시,교습소,3000017296,공감수학교습소,20220412,20220412,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,경상북도 경산시 백자로10길 11,", 상가3동 B-105 (사동, 경산사동사랑으로부영6차)",38604,,20231018
R10,경상북도교육청,경산시,교습소,3000014918,공감아트미술교습소,20180326,20180326,개원,        ,99991231,36,6,예능(대),예능(중),미술고급6,미술,"미술고급6:42000, 미술고급7:84000, 미술고급1:84000, 미술고급2:63000, 미술고급3:42000, 미술고급(원데이):10500, 미술고급4:84000, 미술고급5:63000",Y,N,경상북도 경산시 경산로 24,", 102호 (옥곡동, 부영우리마을 상가동)",38693,null,20250504
R10,경상북도교육청,경산시,교습소,3000016893,국어로국어교습소,20210909,20210909,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,경상북도 경산시 펜타힐즈2로 37,", 힐즈스퀘어3차 706호 (중산동)",38662,,20231018
R10,경상북도교육청,경산시,교습소,3000026051,국어의훈련압량학습관국어교습소,20250228,20250228,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,국어(초등)1,보습,"국어(초등)1:150000, 국어(초등)2:110000, 국어(초등)3:110000",Y, ,경상북도 경산시 압량읍 압독2로8길 16,101호,38538,,20250504
R10,경상북도교육청,경산시,교습소,3000015194,권은경수학교습소,20180821,20180821,개원,        ,99991231,20,4,입시.검정 및 보습,보통교과,초등수학1,보습,"초등수학1:140000, 초등수학2:160000, 중등수학:250000, 고등수학2:320000, 고등수학1:300000",Y,N,경상북도 경산시 펜타힐즈2로 45,", 407호 (중산동)",38662,053-817-2626,20250504
R10,경상북도교육청,경산시,교습소,3000012093,그린빈영어교습소,20131231,20131231,개원,        ,99991231,48,8,입시.검정 및 보습,보통교과,영어(초등)A,보습,"영어(초등)A:170000, 영어(중등):220000, 영어(고등):270000, 영어(초등)B:180000",Y,N,경상북도 경산시 성암로21길 70,"207호(옥산 태왕.한라타운 상가,중산동)",38659,053-283-7105,20250504
R10,경상북도교육청,경산시,교습소,3000020364,그림그림미술교습소,20240510,20240510,개원,        ,        ,0,8,예능(대),예능(중),미술(초급)1,미술,"미술(초급)1:134000, 미술(초급)2:168000, 미술(중급):170000, 미술(고급)1:70000, 미술(고급)2:105000, 미술(고급)3:136000",Y, ,경상북도 경산시 압량읍 압독4로 12,301동 105호(경산푸르지오),38538,,20250504
R10,경상북도교육청,경산시,교습소,7619,그림터미술교습소,20051103,20051103,개원,        ,99991231,27,7,예능(대),예능(중),미술(초급)A,미술,"미술(초급)A:110000, 미술(초급)B:100000, 미술(중급):70000",Y,Y,경상북도 경산시 백양로35길 18,", 2층 (사동)",38597,053-817-9877,20250525
R10,경상북도교육청,경산시,교습소,3000017184,까망피아노교습소,20220302,20220302,개원,        ,99991231,30,5,예능(대),예능(중),피아노(고급)A,음악,"피아노(고급)A:126000, 피아노(초급)B:150000, 피아노(중급)B:167000, 피아노(고급)B:189000, 피아노(초급)A:100000, 피아노(중급)A:110000",Y,N,경상북도 경산시 백양로34길 10-1,", 1층 (사동)",38605,null,20250504
R10,경상북도교육청,경산시,교습소,3000017259,꼬꼬마피카소미술교습소,20220411,20220411,개원,        ,99991231,28,7,예능(대),예능(중),미술(초급)1,미술,"미술(초급)1:28800, 미술(초급)2:57600, 미술(초급)3:86400, 미술(초급)4:115200, 미술(초급)5:140000, 미술(중급)1:37200, 미술(중급)2:74400",Y,N,경상북도 경산시 경청로218길 10,", 1층 (백천동)",38650,null,20260607
R10,경상북도교육청,경산시,교습소,3000022026,꼼꼼윤쌤수학교습소,20241014,20241014,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학1,보습,"초등수학1:80000, 초등수학2:130000, 초등수학3:150000, 초등수학4:170000, 중등수학1:200000, 중등수학2:230000",Y, ,경상북도 경산시 압량읍 압독2로 28,1층,38538,,20250504
R10,경상북도교육청,경산시,교습소,5984,나눔미술교습소,20041221,20041221,개원,        ,99991231,9,9,예능(대),예능(중),"미술(초,중,고)",미술,"미술(초,중,고):140000",Y,N,경상북도 경산시 진량읍 선화로20길 23-1,", 윤성1차 윤성코아 107동 217호(2층) (진량읍)",38492,053-214-7080,20250511
R10,경상북도교육청,경산시,교습소,3000017260,나랏국어교습소,20220330,20220330,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등국어,보습,"초등국어:55000, 중등국어:90000, 고등국어:230000",Y,N,경상북도 경산시 경산로16길 2-11,(옥곡동),38686,,20231018
R10,경상북도교육청,경산시,교습소,3000020365,놀작꽁떼미술교습소,20240510,20240510,개원,        ,        ,0,5,예능(대),예능(중),미술(초급)A,미술,"미술(초급)A:90000, 미술(초급)B:100000, 미술(초급)C:130000, 미술(중급)A:140000, 미술(중급)B:170000, 미술(중급)C:180000, 미술(고급)A:200000, 미술(고급)B:220000, 미술(고급)C:230000",Y, ,경상북도 경산시 압량읍 압독2로 37, 우미린더포레스트 상가 102호,38538,,20250504
R10,경상북도교육청,경산시,교습소,3000015794,놀작백천키즈센터미술교습소,20190626,20190626,개원,        ,99991231,36,6,예능(대),예능(중),미술(초등)2,미술,"미술(초등)2:140000, 미술(초등)3:150000, 미술(초등)1:130000, 미술(초등)5:190000, 미술(초등)4:180000, 미술(초등)6:200000",Y,N,경상북도 경산시 경청로222길 38,", 경산삼도뷰엔빌W 302동 102호 (백천동)",38649,null,20250504
R10,경상북도교육청,경산시,교습소,3000015718,느루미술교습소,20190503,20190503,개원,        ,99991231,18,9,예능(대),예능(중),미술2,미술,"미술2:120000, 미술1:100000",Y,N,경상북도 경산시 진량읍 낙산길 45-10,", 다온빌 1층 (진량읍)",38486,053-6351-531,20240707
R10,경상북도교육청,경산시,교습소,3000014675,다그림미술교습소,20171206,20171206,개원,20181224,20181230,18,9,예능(대),예능(중),미술초급,미술,"미술초급:140000, 미술중급1:130000, 미술중급2:140000",Y,N,경상북도 경산시 펜타힐즈2로 41,", 403호 (중산동)",38662,,20250504
R10,경상북도교육청,경산시,교습소,3000016787,다이너마이트잉글리쉬영어교습소,20210629,20210629,개원,        ,99991231,144,9,국제화,외국어,초등영어A,실용외국어(유아/초·중·고),"초등영어A:230000, 초등영어B:200000, 초등영어C:200000, 중등영어A:230000, 중등영어B:250000, 중등영어C:270000, 일반영어A:290000, 일반영어a:290000, 영어특강:68000, 온라인영어도서관:12000, 고등영어A:330000, 고등영어a:330000, 고등영어B:350000, 고등영어b:350000, 고등영어C:370000, 고등영어c:370000",Y,N,경상북도 경산시 경산로15길 1-12,", 1층 (옥곡동)",38687,,20250420
R10,경상북도교육청,경산시,교습소,3000026115,달리미술교습소,20250425,20250425,개원,        ,        ,0,8,예능(대),예능(중),미술(중급),미술,"미술(중급):150000, 미술(고급)A:120000, 미술(고급)B:120000, 미술(고급)C:100000",Y, ,경상북도 경산시 경산로44길 31,"상가28동 108호(옥산동, 옥산신화평광아파트)",38660,,20250601
R10,경상북도교육청,경산시,교습소,3000011184,더쎈수학교습소,20120712,20120712,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):180000, 수학(초등):170000, 수학(중등):200000, 수학(중등):225000, 수학(중등):270000, 수학(고등):240000, 수학(고등):270000",Y,N,경상북도 경산시 원효로 140,(계양동),38580,,20231018
R10,경상북도교육청,경산시,교습소,3000015774,더피아노교습소,20190611,20190611,개원,        ,99991231,30,5,예능(대),예능(중),피아노(초급)A,음악,"피아노(초급)A:130000, 피아노(중급)A:140000, 피아노(고급)A:150000, 피아노(초급)B:120000, 피아노(중급)B:130000, 피아노(고급)B:140000",Y,N,경상북도 경산시 대학로16길 5,(정평동),38655,null,20250504
R10,경상북도교육청,경산시,교습소,3000013199,더하다미술교습소,20150902,20150902,개원,        ,99991231,54,9,예능(대),예능(중),미술초급A,미술,"미술초급A:80000, 미술초급B:90000, 미술초급C:100000, 미술중급A:110000, 미술중급B:120000, 미술중급C:130000, 미술중급D:140000, 미술고급A:150000, 미술고급B:160000, 미술고급C:170000, 미술고급D:180000, 미술입시A:190000, 미술입시B:200000, 미술입시C:210000",Y,N,경상북도 경산시 대학로16길 23,(정평동),38655,,20260412
R10,경상북도교육청,경산시,교습소,3000016007,더힐수학교습소,20191115,20191115,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,초등수학1,보습,"초등수학1:198000, 초등수학2:264000",Y,N,경상북도 경산시 진량읍 낙산길 36,", 202호 (진량읍, 더힐아파트)",38486,null,20250504
R10,경상북도교육청,경산시,교습소,3000026017,델타수학교습소,20250206,20250206,개원,        ,        ,0,5,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:180000, 중등수학:250000",Y, ,경상북도 경산시 경산로16길 6-9,103호(옥곡동),38686,,20250504
R10,경상북도교육청,경산시,교습소,3000026018,델타영어교습소,20250206,20250206,개원,        ,        ,0,5,입시.검정 및 보습,보통교과,초등영어1,보습,"초등영어1:170000, 초등영어2:200000, 중등영어:250000, 고등영어:350000",Y, ,경상북도 경산시 경산로16길 6-9,102호(옥곡동),38686,,20250504
R10,경상북도교육청,경산시,교습소,3000011302,도레미음악교습소,20121109,20121109,개원,        ,99991231,25,5,예능(대),예능(중),피아노(고급),음악,"피아노(고급):160000, 피라노(초급2):130000, 피아노(초급1):140000, 피아노(중급1):150000, 피아노(중급2):140000",Y,N,경상북도 경산시 압량읍 압독2로 57,", 상가동202호 (압량읍, 부영 사랑으로 2차)",38538,null,20260315
R10,경상북도교육청,경산시,교습소,3000017148,도율한문교습소,20220216,20220216,개원,        ,99991231,24,8,입시.검정 및 보습,보통교과,한문(초),보통교과,"한문(초):80000, 한문(중):80000, 한문(고):80000, 한문(성인):40000",Y,N,경상북도 경산시 압량읍 압독4로1길 37-9,", 1층 (압량읍, 은하수)",38538,,20251012
R10,경상북도교육청,경산시,교습소,3000020121,돋움수학교습소,20231215,20231215,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학3,보습,"초등수학3:150000, 중등수학1:220000, 고등수학2:270000, 고등수학3:216000, 초등수학1:75000, 초등수학2:112500, 중등수학2:330000, 고등수학1:135000",Y, ,경상북도 경산시 하양읍 서사도리4로 1,하양센트럴타워 403호,38409,,20260315
R10,경상북도교육청,경산시,교습소,3000026295,드로잉아르떼미술교습소,20251021,20251016,개원,        ,        ,0,9,예능(대),예능(중),미술초급A,미술,"미술초급A:70000, 미술초급B:100000, 미술초급C:130000, 미술초급D:150000, 미술초급E:170000",Y, ,경상북도 경산시 압량읍 압독3로2길 14,101호,38538,,20260621
R10,경상북도교육청,경산시,교습소,10617,똑똑한수학교습소,20070903,20070903,개원,        ,99991231,32,8,입시.검정 및 보습,보통교과,수학(초등저),입시,"수학(초등저):130000, 수학(초등고):150000, 중등부:180000, 고등부:250000",Y,N,경상북도 경산시 경청로221길 12,", 상가203호 (백천동, 경산백천월드메르디앙)",38647,053-291-8048,20250511
R10,경상북도교육청,경산시,교습소,3000011986,라음피아노음악교습소,20131112,20131112,개원,        ,99991231,12,9,예능(대),예능(중),피아노(초급)B,음악,"피아노(초급)B:110000, 피아노(중급)B:120000, 피아노(고급)B:130000, 바이올린:30000, 우쿨렐레:30000, 리코더:0, 피아노(초급)A:130000, 피아노(중급)A:140000, 피아노(고급)A:150000",Y,N,경상북도 경산시 경산로16길 6-12,(옥곡동),38686,,20241110
R10,경상북도교육청,경산시,교습소,3000015604,라인수학교습소,20190308,20190308,개원,20230101,20231128,30,6,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:190000, 초등수학B:130000, 초등수학E:100000, 초등수학C:70000, 초등수학D:270000, 중등수학A:300000, 중등수학B:220000",Y,N,경상북도 경산시 펜타힐즈로 74,", 708호 (중산동)",38662,,20250504
R10,경상북도교육청,경산시,교습소,3000013503,레벨업수학교습소,20160128,20160128,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,초저수학,보습,"초저수학:130000, 초등수학A:160000, 초등수학B:180000, 초등수학심화:200000, 중등수학A:220000, 중등수학B:230000, 중등수학C:240000, 중등수학심화:300000, 고등수학A:300000, 고등수학B:350000",Y,N,경상북도 경산시 경산로 22,", 2층 (옥곡동)",38693,null,20250504
R10,경상북도교육청,경산시,교습소,3000013426,레벨업영어교습소,20160128,20160128,개원,        ,99991231,63,8,입시.검정 및 보습,보통교과,파닉스영어,보습,"파닉스영어:130000, 초등영어A:160000, 초등영어B:180000, 초등영어심화:200000, 중등영어A:220000, 중등영어B:230000, 중등영어C:240000, 중등영어심화:300000, 고등영어A:300000, 고등영어B:350000",Y,N,경상북도 경산시 경산로 22,", 2층 (옥곡동)",38693,null,20250504
R10,경상북도교육청,경산시,교습소,3000022061,로그수학교습소,20241120,20241120,개원,        ,        ,0,6,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:180000, 중등수학A:250000, 고등수학:350000, 초등수학C:200000, 중등수학B:300000, 초등수학D:240000, 초등수학B:150000",Y, ,경상북도 경산시 펜타힐즈1로 130,"401동 202호(중산동,중산자이 1단지 근린생활시설1)",38663,,20250504
R10,경상북도교육청,경산시,교습소,3000016966,루이영어교습소,20211026,20211026,개원,        ,99991231,12,4,입시.검정 및 보습,보통교과,영어(초),보습,"영어(초):180000, 영어(중):220000, 영어(고):300000",Y,N,경상북도 경산시 경청로218길 9-3,", 1층 (백천동)",38650,null,20250504
R10,경상북도교육청,경산시,교습소,3000011413,류앤영어교습소,20130109,20130109,개원,        ,99991231,48,8,입시.검정 및 보습,보통교과,영어(초)A,보습,"영어(초)A:190000, 영어(초)B:200000, 영어(중)A:250000, 영어(중)B:280000, 영어(고):320000",Y,N,경상북도 경산시 경산로42길 22-8,", 1층 1호 (옥산동)",38675,053-816-6005,20250504
R10,경상북도교육청,경산시,교습소,3000022005,리드앤톡영어교습소,20240910,20240910,개원,        ,        ,0,6,국제화,외국어,pre-advance(st5~6),실용외국어(유아/초·중·고),"pre-advance(st5~6):250000, advance(st7~9):270000, 다독(스피킹)A:150000, 다독(스피킹)B:180000, starter(st1~2):230000, inter(st3~4):250000",Y, ,경상북도 경산시 펜타힐즈2로 45,",707호(중산동)",38662,,20250504
R10,경상북도교육청,경산시,교습소,3000021980,리딩오션독서논술교습소,20240828,20240828,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,논술(초등1),보습,"논술(초등1):120000, 논술(초등2):130000, 논술(초등3):150000, 논술(중등1):130000, 논술(중등2):140000, 논술(중등3):160000",Y, ,경상북도 경산시 압량읍 압독2로8길 6,1층,38538,,20250504
