시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
F10,광주광역시교육청,광산구,교습소,3000018042,1대1에이드영어교습소,20240807,20240807,개원,        ,        ,0,8,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:232000, 초등영어B:217500, 초등영어C:203000, 초등영어S:100000, 중등영어:220000, 중등영어S:100000, 고등영어:260000",Y, ,광주광역시 광산구 왕버들로252번길 10,", 상업시설동 306호(수완동,수완대라수어썸테라스)",62250,,20260301
F10,광주광역시교육청,광산구,교습소,3000013632,1등급수학교습소,20180126,20180126,개원,        ,99991231,12,3,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:170000, 중등수학:220000, 고등수학:280000",Y,N,광주광역시 광산구 수등로 280,", 신가1차호반리젠시빌 상가동 202호 (신가동, 신가1차호반리젠시빌)",62299,062-955-4858,20260125
F10,광주광역시교육청,광산구,교습소,3000015657,3030신창러닝센터영어교습소,20230407,20230407,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,초등영어기초,보습,"초등영어기초:182000, 초등영어기본:187000",Y,N,광주광역시 광산구 신창로162번길 24,", 4층 일부 (신창동)",62251,null,20231120
F10,광주광역시교육청,광산구,교습소,3000020047,3030장덕점영어교습소,20250923,20250923,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 장덕로95번길 16,"207동 203호(장덕동,수완2차숲안애)",62222,,20250928
F10,광주광역시교육청,광산구,교습소,3000014318,BLOOMINDACADEMY(블루마인드아카데미)수학교습소,20190710,20190710,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,중등수학,보습,"중등수학:250000, 고등A2수학:220000, 고등B2수학:270000, 고등A3수학:250000, 고등클리닉수학:80000, 고등특강A수학:100000, 고등특강B수학:100000",Y,N,광주광역시 광산구 월계로 154,", 2층일부 (월계동)",62267,062-973-2016,20231018
F10,광주광역시교육청,광산구,교습소,3000015576,COD(코드)수학교습소,20230206,20230206,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,중등수학3,보습,"중등수학3:210000, 고등수학1:335000, 고등수학2:335000, 고등수학3:385000, 중등수학1:210000, 중등수학2:210000",Y,N,광주광역시 광산구 임방울대로 330,", 604호 (수완동)",62306,null,20250202
F10,광주광역시교육청,광산구,교습소,3000018034,E-bookreadingclub이-북리딩클럽영어교습소,20240724,20240724,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 첨단중앙로106번길 25,", 211호(월계동)",62276,,20240929
F10,광주광역시교육청,광산구,교습소,3000012001,ELC(이엘씨)영어교습소,20141103,20141103,개원,        ,99991231,25,6,입시.검정 및 보습,보통교과,(초등)영어파닉스,보습,"(초등)영어파닉스:160000, 초등영어:180000, 중등영어:220000, 초등영어청크:20000, 중등영어문법:60000",Y,N,광주광역시 광산구 수등로258번길 3-3,", 2층 일부 (신가동)",62299,,20260607
F10,광주광역시교육청,광산구,교습소,3000020241,EM(이엠)영어교습소,20260319,20260319,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 월곡산정로 80,", 금호타운상가 204호, 205호(월곡동,하남금호타운)",62356,,20260329
F10,광주광역시교육청,광산구,교습소,6561,HB에이치비잉글리쉬영어교습소,20091217,20091217,개원,        ,99991231,40,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:210600, 중등영어:253800",Y,N,광주광역시 광산구 수등로123번길 21,",  수완지구호반베르디움1차아파트  상가 201호 (신가동)",506843,062-431-2637,20240428
F10,광주광역시교육청,광산구,교습소,3000019768,Hu.Tanz(후.탄츠)무용교습소,20241111,20241111,개원,        ,        ,0,9,예능(대),,,, ,Y, ,광주광역시 광산구 목련로394번길 10-16,", 1층(신가동)",62300,,20241222
F10,광주광역시교육청,광산구,교습소,3000017724,ITC(아이티씨)영어수완장덕점영어교습소,20230908,20230908,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 장신로 68,", 303호 일부 (장덕동)",62225,,20231018
F10,광주광역시교육청,광산구,교습소,3000019794,KMG(케이엠지)수학교습소,20241209,20241209,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 풍영로200번길 59,", 304호 일부(장덕동)",62225,,20241222
F10,광주광역시교육청,광산구,교습소,3000015506,M(엠)매쓰수학교습소,20221209,20221209,개원,        ,99991231,42,7,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:150000, 초등수학B:180000, 초등수학C:200000, 초등수학D:220000, 중등수학A:250000, 중등수학B:270000, 중등수학C:300000, 고등수학A:300000, 고등수학B:350000, 고등수학C:400000",Y,N,광주광역시 광산구 산월로 80,", 상가동 112호 (산월동, 부영사랑으로)",62285,null,20240317
F10,광주광역시교육청,광산구,교습소,3000012197,SKY(스카이)영어교습소,20150310,20150310,개원,        ,99991231,40,5,입시.검정 및 보습,보통교과,고등영어A,보습,"고등영어A:250000, 고등영어B:270000, 초등영어A:150000, 초등영어B:170000, 초등영어C:180000, 중등영어A:190000, 중등영어B:200000",Y,N,광주광역시 광산구 사암로340번길 30,", 상가동 205호 (월곡동, 영천마을 주공10단지아파트)",506784,null,20250316
F10,광주광역시교육청,광산구,교습소,3000019906,Wee(위)키수학교습소,20250331,20250328,개원,        ,        ,0,18,입시.검정 및 보습,,,, ,Y, ,광주광역시 광산구 왕버들로252번길 10,", 2층 209호(수완동,수완대라수어썸테라스)",62250,,20250525
F10,광주광역시교육청,광산구,교습소,3000014631,YSetudier(와이에스에듀디에)수학교습소,20200408,20200408,개원,        ,99991231,24,7,입시.검정 및 보습,보통교과,초등저학년,보습,"초등저학년:150000, 초등기본A:180000, 초등고급B:200000, 중등기본A:230000, 고등수학:300000, 중등고급B:250000",Y,N,광주광역시 광산구 첨단강변로 100,", 401동 210호 (쌍암동, 힐스테이트 리버파크)",62279,062-418-1041,20231018
F10,광주광역시교육청,광산구,교습소,3000019799,"aboutPIANO(어바웃피아노),선운음악교습소",20241211,20241212,개원,        ,        ,0,5,예능(대),예능(중),피아노초급1,음악,"피아노초급1:140000, 피아노초급2:150000, 피아노중급1:160000, 피아노고급1:170000, 피아노고급2:180000, 피아노입시:200000",Y, ,광주광역시 광산구 선운중앙로 43,"208동 B108호(선암동,광주 선운지구 EG the1 2단지)",62401,,20250202
F10,광주광역시교육청,광산구,교습소,3000015298,theW(더더블유)수학교습소,20220429,20220429,개원,        ,99991231,0,8,입시.검정 및 보습,보통교과,,보습, ,Y,N,광주광역시 광산구 장신로 68,", 303호 일부 (장덕동)",62225,,20231018
F10,광주광역시교육청,광산구,교습소,3000012217,가온길논술교습소,20150326,20150326,개원,        ,99991231,0,5,입시.검정 및 보습,보통교과,,보습·논술,"초등논술:115000, 중등논술:160000, 고등논술:120000",Y,N,광주광역시 광산구 풍영로 285,", 213동(상가동) 305호 (장덕동, 수완2차 골든클래스)",506251,,20231018
F10,광주광역시교육청,광산구,교습소,3000013153,강선생국어교습소,20170227,20170227,개원,        ,99991231,24,4,입시.검정 및 보습,보통교과,국어(초등),보습, ,Y,N,광주광역시 광산구 첨단중앙로181번길 42-25,", 상가동 201호 (월계동)",62255,062-972-3533,20231018
