시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
D10,대구광역시교육청,군위군,교습소,3500016815,나를빛나게하는송쌤English영어교습소,20210715,20210715,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:150000, 중등영어:180000, 고등영어:210000",Y,N,대구광역시 군위군 군위읍 도군로 2727,2층,43114,,20251019
D10,대구광역시교육청,군위군,교습소,3000037820,루티수학교습소,20250514,20250514,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,"수학(초5, 초6)",보습,"수학(초5, 초6):240000, 수학:300000, 수학:360000",Y, ,대구광역시 군위군 군위읍 중앙길 126,(군위읍),43114,,20250928
D10,대구광역시교육청,군위군,교습소,3500016275,미술세계미술교습소,20240313,20230407,개원,        ,        ,27,9,예능(대),예능(중),미술(초등),미술,"미술(초등):96000, 미술(중등):150000, 미술(고등):170000",Y,N,대구광역시 군위군 군위읍 중앙길 95-1,(군위읍),43115,010-4452-1117,20250810
D10,대구광역시교육청,군위군,교습소,3000037493,스칼라과학교습소,20241210,20241210,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,과학초급,보습,"과학초급:170000, 중등A:170000, 중등B:200000, 고등A:250000, 고등B:300000, 과학기초반:0",Y, ,대구광역시 군위군 군위읍 동서7길 12-2,101호,43119,010-9691-9888,20251019
D10,대구광역시교육청,군위군,교습소,2500000965,아트앤하트 군위미술교습소,19921201,19870312,개원,        ,99991231,10,9,예능(대),예능(중),미술(초급),미술,"미술(초급):100000, 미술(중급):150000",Y,N,대구광역시 군위군 군위읍 동서1길 25, ,43114,054-383-3310,20250601
D10,대구광역시교육청,군위군,교습소,500010600,이레피아노교습소,20070828,20070828,개원,        ,99991231,15,5,예능(대),예능(중),피아노(초급)(주5회),음악,"피아노(초급)(주5회):110000, 피아노(초급)(주4회):110000, 피아노(초급)(주3회):100000, 피아노(초급)(주2회):100000, 피아노(초급)(주1회):90000, 피아노(중급)(주5회):120000, 피아노(중급)(주4회):120000, 피아노(중급)(주3회):110000, 피아노(중급)(주2회):110000, 피아노(중급)(주1회):100000, 피아노(고급)(주5회):130000, 피아노(고급)(주4회):130000, 피아노(고급)(주3회):120000, 피아노(고급)(주2회):120000, 피아노(고급)(주1회):110000",Y,N,대구광역시 군위군 군위읍 중앙4길 7, ,43115,054-383-4243,20250914
D10,대구광역시교육청,군위군,교습소,3500017698,장쌤 영어교습소,20230120,20230120,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,중등영어(입문),보습,"중등영어(입문):180000, 중등영어(기본):200000, 중등영어(일반):220000, 중등영어(심화):240000, 중등영어(발전):260000, 고등영어(입문):220000, 고등영어(기본):240000, 고등영어(일반):260000, 고등영어(심화):280000, 고등영어(발전):300000, 초등영어(입문):140000, 초등영어(기본):160000, 초등영어(심화):200000, 초등영어(일반):180000, 초등영어(발전):220000",Y,N,대구광역시 군위군 군위읍 중앙길 96,(군위읍),43114,,20260201
D10,대구광역시교육청,군위군,교습소,3000039314,정스터디공감수학교습소,20250829,20250829,개원,        ,        ,0,4,입시.검정 및 보습,보통교과,유아수학,보습,"유아수학:180000, 초등수학:200000, 중등수학:220000, 플레이팩토:100000",Y, ,대구광역시 군위군 군위읍 중앙길 115,2층,43115,,20260329
D10,대구광역시교육청,군위군,학원,500000386,다빈치미술학원,20030530,20030530,개원,        ,99991231,30,25,예능(대),예능(중),미술,미술, ,Y,N,대구광역시 군위군 군위읍 동서1길 13-7,(군위읍),43114,054-382-1420,20250601
D10,대구광역시교육청,군위군,학원,500011811,벧엘음악학원,20090216,20090210,개원,        ,99991231,60,20,예능(대),예능(중),음악,음악, ,Y,N,대구광역시 군위군 군위읍 중앙길 115,",(2층) (군위읍)",43115,054-382-0594,20260405
D10,대구광역시교육청,군위군,학원,3500017003,스마트해법영어학원,20211119,20211119,개원,        ,99991231,126,42,입시.검정 및 보습,보통교과,,보습, ,Y,N,대구광역시 군위군 군위읍 중앙길 118-1,", 2층 (군위읍)",43114,010-4932-1032,20240818
