시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
G10,대전광역시교육청,대덕구,교습소,3000012678,DCT수학교습소,20170404,20170404,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,초등수학2,보습,"초등수학2:180000, 초등수학1:100000, 중등수학:200000, 고등수학:250000",Y,N,대전광역시 대덕구 한밭대로 1026,", 2층 (오정동)",34437,null,20260201
G10,대전광역시교육청,대덕구,교습소,3000014074,E.I.C.U.영어교습소,20210223,20210223,개원,        ,99991231,78,8,입시.검정 및 보습,보통교과,,보습,"고등영어:200000, 중등영어:190000, 중등심화:280000, 고등심화:310000, 고등일반:250000, 초등일반:150000, 초등ICU:160000, 중등ICU:210000, 고등ICU:260000",Y,N,대전광역시 대덕구 홍도로135번길 68,", 104호 (중리동)",34426,,20250706
G10,대전광역시교육청,대덕구,교습소,3000014566,NE능률소피아영어교습소,20220803,20220803,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,고등부 주2회,보습,"고등부 주2회:250000, 초등기초반:150000, 초등부:200000, 중등부:250000, 고등부(내신+수능 주1회 모의고사):300000",Y,N,대전광역시 대덕구 동춘당로 178,", 보람코아 309-1호 (법동, 보람아파트)",34398,null,20250727
G10,대전광역시교육청,대덕구,교습소,3000021290,가온독서논술교습소,20250901,20250901,개원,20260128,20261028,0,8,입시.검정 및 보습,,,, ,Y, ,대전광역시 대덕구 대청로 53,"상가 206호(신탄진동,대전 동일스위트 리버스카이 2단지)",34307,,20260531
G10,대전광역시교육청,대덕구,교습소,3000013426,강쌤수학교습소,20190401,20190401,개원,        ,99991231,30,3,입시.검정 및 보습,보통교과,초등저A,보습,"초등저A:210000, 초등저B:190000, 초등저C:230000, 초등저D:280000, 초등고A:230000, 초등고B:300000, 초등고C:370000, 중등A:270000, 중등B:340000, 고등A:260000, 중등C:410000, 고등B:310000",Y,N,대전광역시 대덕구 계족산로 135,", 선비마을4단지아파트 상가 2층 202호 (송촌동)",34402,042-622-2317,20241229
G10,대전광역시교육청,대덕구,교습소,3000014157,경진영어교습소,20210512,20210512,개원,        ,99991231,30,8,입시.검정 및 보습,보통교과,초등부,보습,"초등부:180000, 중등부:240000, 고등부:280000",Y,N,대전광역시 대덕구 대청로 53,"상가동 208호, 209-1호(신탄진동,대전 동일스위트 리버스카이 2단지)",34307,,20260201
G10,대전광역시교육청,대덕구,교습소,3000021292,골든벨스마트해법수학교습소,20250901,20250901,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:200000, 중등수학:240000, 초등수학특강비:100000, 중등수학특강비:150000",Y, ,대전광역시 대덕구 대청로 53,"상가 205호 일부(신탄진동,대전 동일스위트 리버스카이 2단지)",34307,,20260531
G10,대전광역시교육청,대덕구,교습소,2000001610,그린피아노교습소,19970708,19970708,개원,        ,99991231,20,4,예능(대),예능(중),초급(3일반),음악,"초급(3일반):120000, 고급(3일반):130000, 초급:130000, 중급:140000, 고급:150000",Y,N,대전광역시 대덕구 동춘당로 151 ,"그린타운상가 103호(법동, 그린아파트)",306758,042-672-8875,20260531
G10,대전광역시교육청,대덕구,교습소,3000011526,김순천날개달기국어교습소,20140901,20140901,개원,        ,99991231,15,5,입시.검정 및 보습,보통교과,초등국어,보습,"초등국어:150000, 중등국어:200000, 고등국어:250000",Y,N,대전광역시 대덕구 계족로663번길 29-18,", 202호 (법동)",34385,,20250323
G10,대전광역시교육청,대덕구,교습소,3000021296,깡쌤영어교습소,20250911,20250911,개원,        ,        ,0,2,입시.검정 및 보습,,,, ,Y, ,대전광역시 대덕구 계족산로43번길 63,103호(중리동),34410,,20250921
G10,대전광역시교육청,대덕구,교습소,3000014132,낭만니즈수학교습소,20210408,20210408,개원,        ,99991231,14,7,입시.검정 및 보습,보통교과,중등특강,보습,"중등특강:100000, 고등특강:110000, 중등과정:200000, 고등과정:220000",Y,N,대전광역시 대덕구 동춘당로94번길 11-21,", 401호 일부 (송촌동, 송촌은혜프라자)",34401,,20260531
G10,대전광역시교육청,대덕구,교습소,3000010898,느티나무한문교습소,20130121,20130121,개원,        ,99991231,10,5,입시.검정 및 보습,보통교과,한자반,보습,"한자반:90000, 한문반:120000",Y,N,대전광역시 대덕구 대청로64번길 32,", 1층  (신탄진동)",306814,,20231119
G10,대전광역시교육청,대덕구,교습소,3000011443,대규수학교습소,20140603,20140603,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,대전광역시 대덕구 동춘당로94번길 11-21,", 2층 (송촌동,송촌은혜프라자)",306813,,20231119
G10,대전광역시교육청,대덕구,교습소,3000021345,대전새여울하연과학교습소,20251110,20251110,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등과학A,보습,"초등과학A:55000, 초등과학B:95000, 초등과학C:105000, 초등과학D:31000, 초등특강:25000, 중등과학:140000",Y, ,대전광역시 대덕구 대덕대로 1555,"상가 136호(석봉동,금강엑슬루타워)",34304,,20260315
G10,대전광역시교육청,대덕구,교습소,3000012416,더플러스숙명피아노음악교습소,20161019,20161019,개원,        ,99991231,25,5,예능(대),예능(중),초급,음악,"초급:140000, 중급:150000, 고급:160000, 입시:300000, 특강:30000",Y,N,대전광역시 대덕구 석봉북로9번길 21,", 1층 일부 (석봉동)",34317,,20231018
G10,대전광역시교육청,대덕구,교습소,3000021153,디어뮤직아카데미음악교습소,20250321,20250321,개원,        ,        ,0,5,예능(대),예능(중),"피아노, 바이올린, 비올라(3회)",예능(중),"피아노, 바이올린, 비올라(3회):125000, 피아노, 바이올린, 비올라(4회):170000, 바이올린(5회):260000, 비올라(5회):260000, 피아노(5회):260000, 바이올린(4회):210000, 비올라(4회):210000, 피아노(4회):210000",Y, ,대전광역시 대덕구 계족산로 136,"상가동 203, 204호(송촌동,선비마을5단지아파트)",34403,,20250629
G10,대전광역시교육청,대덕구,교습소,3000011404,딥매쓰(Deep Math)원쌤수학교습소,20140508,20140508,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,수학 초(A),보습,"수학 초(A):150000, 수학 초(B):130000, 수학 중:200000, 초등(5일):150000, 중등(3일):180000, 중등(5일):200000, 고등(2일):250000",Y,N,대전광역시 동구 비래서로42번길 54,", 1층 (가양동)",34527,,20231119
G10,대전광역시교육청,대덕구,교습소,3000012964,레미피아노음악교습소,20180126,20180126,개원,        ,99991231,20,5,예능(대),예능(중),초급(기초),음악,"초급(기초):140000, 상급:160000, 중급:150000, 고급:170000",Y,N,대전광역시 대덕구 대덕대로 1587,", 금강로하스 엘크루아파트 상가 208호 209호 (석봉동)",34304,,20260531
G10,대전광역시교육청,대덕구,교습소,3000010396,레벨업수학교습소,20111227,20111227,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,중등수학,보습, ,Y,N,대전광역시 동구 계족로457번길 38-9,202호(용전동),34544,,20251116
G10,대전광역시교육청,대덕구,교습소,3000021322,렌토기타교습소,20251020,20251020,개원,        ,        ,0,5,예능(대),,,, ,Y, ,대전광역시 대덕구 대덕대로 1583,106호(석봉동),34304,,20251026
G10,대전광역시교육청,대덕구,교습소,2000000260,루나피아노음악교습소,19811229,19811229,개원,        ,99991231,20,5,예능(대),예능(중),바이엘,음악,"바이엘:120000, 체르니100:130000, 체르니30:130000, 체르니40:140000",Y,N,대전광역시 대덕구 동산초교로63번길 46, 1층 (오정동),306819,042-631-3875,20241229
G10,대전광역시교육청,대덕구,교습소,3000014629,리드인독서논술동일스위트점논술교습소,20221025,20221025,개원,        ,99991231,63,9,입시.검정 및 보습,보통교과,초등A-1,보습,"초등A-1:150000, 초등B-1:180000, 초등C-1:210000, 중등A:140000, 초등E-1:90000, 초등A:140000, 초등B:170000, 초등C:200000, 초등D:230000, 중등A-1:150000, 중등B:170000, 중등B-1:180000, 중등C:200000, 중등C-1:210000, 중등D:230000, 초등E:100000, 중등E:100000, 중등E-1:110000",Y,N,대전광역시 대덕구 대청로 43,", 상가동 204호 (신탄진동, 대전 동일스위트 리버스카이 1단지)",34307,,20260531
G10,대전광역시교육청,대덕구,교습소,2000001288,리베피아노교습소,19951024,19951024,개원,        ,99991231,20,5,예능(대),예능(중),전공(입시)B,음악,"전공(입시)B:300000, 전공(입시)C:400000, 반주법C:140000, 바이엘:150000, 체르니100:160000, 체르니30:170000, 체르니40:180000, 전공(입시)A:200000, 반주법A:120000, 반주법B:130000, 특강:30000",Y,N,대전광역시 대덕구 신탄진로762번길 66,", 1층 일부 (신탄진동)",34313,042-933-5320,20260531
G10,대전광역시교육청,대덕구,교습소,3000014401,리브로아르츠금강엑슬루미술교습소,20220125,20220125,개원,        ,99991231,240,5,예능(대),예능(중),,미술, ,Y,N,대전광역시 대덕구 대덕대로 1555,", 상가동 142호 (석봉동, 금강엑슬루타워)",34304,,20241117
G10,대전광역시교육청,대덕구,교습소,2000002315,맑은소리피아노음악교습소,20020214,20020214,개원,        ,99991231,27,7,예능(대),예능(중),바이엘,음악,"바이엘:120000, 체르니100:130000, 체르니30:140000, 체르니40:150000, 플룻(중급):130000, 중고등:160000",Y,N,대전광역시 대덕구 계족산로36번길 63,", 102호 (송촌동)",34423,042-632-2023,20240310
G10,대전광역시교육청,대덕구,교습소,3000013944,매쓰스타트수학교습소,20200910,20200910,개원,        ,99991231,81,9,입시.검정 및 보습,보통교과,초등 저(주3회),보습,"초등 저(주3회):120000, 초등 저(주5회):150000, 초등 고(주5회):170000, 중등(주3회):200000, 중등(주5회):220000, 초등저(주4회):150000, 초등고(주4회):170000, 중등기본(주4회):200000, 중등심화(주4회):220000",Y,N,대전광역시 대덕구 동춘당로94번길 11-15,", 송촌프라자 6층 603호 (송촌동, 송촌프라자)",34401,042-6317-417,20260201
G10,대전광역시교육청,대덕구,교습소,3000012713,매쓰톡수학교습소,20170516,20170516,개원,        ,99991231,9,9,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):120000, 수학(중등):200000, 수학(고등):300000",Y,N,대전광역시 대덕구 계족로663번길 29-18,", 상가 2층 201호 (법동)",34385,null,20260201
