시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
C10,부산광역시교육청,강서구,교습소,3000020166,1등급국어교습소,20210701,20210630,개원,        ,99991231,18,8,입시.검정 및 보습,보통교과,국어A,보습,"국어A:240000, 국어B:320000",Y,N,부산광역시 강서구 명지국제8로 234,", 707호 (명지동)",46726,null,20241229
C10,부산광역시교육청,강서구,교습소,3000013378,Sound of Music 실용음악교습소,20140513,20140513,개원,        ,99991231,9,9,예능(대),예능(중),초급,음악, ,Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동116동 111호 (명지동, 퀸덤1차아파트)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,5755,강서아카데미수학교습소,20040904,20040904,개원,        ,99991231,25,9,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):150000, 수학(중등):207000, 수학(고등A):390000, 수학(고등B):310000, 수학(고등C):260000",Y,N,부산광역시 강서구 대저로273번길 18,(대저1동),618803,051-971-4335,20231018
C10,부산광역시교육청,강서구,교습소,3000021546,과수원수학교습소,20230105,20230105,개원,        ,99991231,136,8,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:190000, 초등수학B:210000, 초등수학C:220000, 초등수학D:230000, 초등수학E:240000, 초등수학F:250000, 초등수학심화A:270000, 초등수학심화B:290000, 초등수학심화C:380000, 초등수학심화D:410000, 초등수학심화E:540000, 중등수학A:290000, 중등수학B:320000, 중등수학C:240000, 중등수학심화A:430000, 중등수학심화B:470000, 중등수학심화C:590000, 중등수학심화D:680000, 고등수학A:430000, 고등수학B:470000, 고등수학C:590000, 고등수학D:680000, 고등수학E:870000",Y,N,부산광역시 강서구 명지국제2로 41,", 3단지 판매시설 상가227호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20260201
C10,부산광역시교육청,강서구,교습소,3000015439,국제예원미술교습소,20160520,20160520,개원,        ,99991231,32,4,예능(대),예능(중),미술(초급),미술,"미술(초급):150000, 미술(중급):160000, 미술(고급):200000",Y,N,부산광역시 강서구 명지국제8로 245,", 804호 일부 (명지동)",46773,null,20250316
C10,부산광역시교육청,강서구,교습소,3000020221,국제하연과학교습소,20210802,20210730,개원,        ,99991231,12,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제2로 80,", 비주거시설동 2층 20호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000021513,그로잉아트스튜디오미술교습소,20221220,20221220,개원,        ,99991231,45,9,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 명지국제8로 270,", 605호 (명지동)",46772,,20231217
C10,부산광역시교육청,강서구,교습소,3000017009,그리미뚝딱미술교습소,20180108,20180108,개원,        ,99991231,9,9,예능(대),예능(중),,미술,"미술고급:206000, 미술B(초급):150000",Y,N,부산광역시 강서구 과학산단2로20번길 91,", 111동 106호 (지사동, 지사 과학 삼정그린코아)",46743,,20231018
C10,부산광역시교육청,강서구,교습소,3000021853,그림미술교습소,20230329,20230329,개원,        ,99991231,27,8,예능(대),예능(중),그림미술(고흐1) 고급,미술,"그림미술(고흐1) 고급:150000, 그림미술(고흐2) 고급:130000, 그림미술(피카소1) 고급:100000, 그림미술(피카소2) 고급:50000, 그림미술(모네1) 고급:150000, 그림미술(모네2) 고급:150000, 그림미술(모네3) 고급:150000, 그림미술(모네4) 고급:150000, 그림미술(특강Ι) 고급:70000",Y,N,부산광역시 강서구 신호산단2로 69,", 102호 (신호동)",46759,null,20250413
C10,부산광역시교육청,강서구,교습소,3000034619,극동스타클래스미래엔영어교습소,20240503,20240429,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지오션시티2로 71,", 상가 206호(명지동,극동 스타클래스)",46765,,20260531
C10,부산광역시교육청,강서구,교습소,3000021690,글로리아피아노음악교습소,20230213,20230213,개원,        ,99991231,8,5,예능(대),예능(중),"피아노,리코더,드럼A",음악,"피아노,리코더,드럼A:100000, 피아노,리코더,드럼B:130000, 피아노,리코더,드럼C:140000, 피아노,리코더,드럼D:150000, 피아노,리코더,드럼E:160000",Y,N,부산광역시 강서구 명지오션시티11로 51,"301-5호(명지동,영어도시 퀸덤1차)",46762,,20250629
C10,부산광역시교육청,강서구,교습소,3000034899,글린카피아노음악교습소,20241002,20241002,개원,        ,        ,0,6,예능(대),예능(중),피아노초급A,음악,"피아노초급A:170000, 피아노초급B:160000, 피아노초급C:150000, 피아노중급A:180000, 피아노중급B:170000, 피아노중급C:160000, 피아노고급A:190000, 피아노고급B:180000, 피아노고급C:170000, 피아노고급D:140000, 피아노고급E:80000, 피아노입시:400000",Y, ,부산광역시 강서구 명지오션시티6로 33,"(명지동,엘크루 블루오션) 상가 B109호",46764,,20260531
C10,부산광역시교육청,강서구,교습소,3000035570,기분좋은깨달음수학교습소,20250731,20250807,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제5로 141,"304-406(명지동,명지 협성휴포레)",46773,,20250810
C10,부산광역시교육청,강서구,교습소,3000018295,기탄사고력공부방수학교습소,20190403,20190403,개원,        ,99991231,100,9,입시.검정 및 보습,보통교과,수학A,보습,"수학A:180000, 수학B:200000, 수학C:220000, 수학A:250000, 수학B:270000",Y,N,부산광역시 강서구 명지국제6로302번길 11-7,", 1층 일부 (명지동)",46726,null,20231112
C10,부산광역시교육청,강서구,교습소,3000034145,기탄사고력교실명일초수학교습소,20231010,20231010,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,수학A,보습,"수학A:210000, 수학B:190000, 수학C:185000, 수학D:170000, 창의사고력:45000, 수학:45000",Y, ,부산광역시 강서구 명지국제13로가길 5,1층 2호(명지동),46773,,20250518
C10,부산광역시교육청,강서구,교습소,3000035028,길수학교습소,20241206,20241206,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제8로 235,", 명지코아상가 주건축물 1동 701호 (명지동)",46773,,20241222
