시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
B10,서울특별시교육청,강남구,교습소,3000054911,(덮어씌워야함),20260617,20260617,개원,        ,        ,0,0,예능(대),,,, ,Y, ,서울특별시 강남구 선릉로68길 10,", 103호(대치동)",06205,,20260621
B10,서울특별시교육청,강남구,교습소,3000040501,301아카데미(Academy)영어교습소,20211228,20211228,개원,        ,99991231,24,9,입시.검정 및 보습,보통교과,문법 영어,보습,"문법 영어:268000, 리딩:268000, 수능독해:268000, 중학내신:268000, 리스닝:192000, 스피킹:192000",Y,N,서울특별시 강남구 개포로82길 7,", 3층 301호 (개포동, 삼성빌딩)",06329,02-0000-0000,20231018
B10,서울특별시교육청,강남구,교습소,3000051471,3030영어교습소,20241122,20241122,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 광평로10길 15,", 115호(일원동,상록수아파트단지내상가동)",06360,010-5435-5177,20241215
B10,서울특별시교육청,강남구,교습소,3000050966,365국어교습소,20240820,20240820,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,서울특별시 강남구 삼성로 150,", 158호, 165호(대치동,한보종합상가)",06288,010-2888-0365,20240908
B10,서울특별시교육청,강남구,교습소,3000042042,365필름아트진학상담지도교습소,20220808,20220808,개원,        ,99991231,6,6,입시.검정 및 보습,보통교과,진학상담지도1,진학상담지도,"진학상담지도1:700000, 진학상담지도2:700000, 진학상담지도3:700000",Y,N,서울특별시 강남구 논현로136길 3,3층 302호(논현동),06051,,20251005
B10,서울특별시교육청,강남구,교습소,3000042509,BT수학전문수학교습소,20221027,20221027,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 선릉로 38,", 4층 일부 (개포동, 오성빌딩)",06325,02-0000-0000,20231018
B10,서울특별시교육청,강남구,교습소,3000035363,GLMA글로벌인생만남논술교습소,20191014,20191014,개원,        ,99991231,25,5,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,서울특별시 강남구 일원로5길 71,", 1층 전체 (일원동)",06342,02-0000-0000,20231018
B10,서울특별시교육청,강남구,교습소,3000012510,IG수학교습소,20111117,20111117,개원,        ,99991231,24,5,입시.검정 및 보습,보통교과,수학,보습,"수학:540000, 수학:800000, 수학:400000",Y,N,서울특별시 강남구 삼성로64길 5,", 2층 204호 전체 (대치동, 대치현대아파트)",06191,02-558-6799,20250608
B10,서울특별시교육청,강남구,교습소,3000035664,J바이올린음악교습소,20191113,20191113,개원,        ,99991231,7,1,예능(대),예능(중),,음악, ,Y,N,서울특별시 강남구 압구정로 309,", B동 203-3호 (압구정동, 현대아파트)",06006,070-8861-7387,20231018
B10,서울특별시교육청,강남구,교습소,3000039880,LYS잉글리쉬(English)영어교습소,20210930,20210930,개원,        ,99991231,5,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,서울특별시 강남구 논현로161길 14,", 3층 (신사동)",06031,,20231018
