시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
I10,세종특별자치시교육청,세종특별자치시,교습소,3000015015, OK수학교습소,20241205,20241205,개원,        ,        ,0,6,입시.검정 및 보습,보통교과,수학(초등A),보통교과,"수학(초등A):97200, 수학(초등B):129600, 수학(초등C):145800, 수학(초등D):194400, 수학(중등A):156600, 수학(중등B):208800, 수학(고등A):172800, 수학(고등B):230400",Y, ,세종특별자치시 한누리대로 2236,", B215호(대평동, 해들마을6단지 판매시설-2))",30152,,20241215
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012567,131피아노교습소,20230120,20230120,개원,        ,99991231,25,5,예능(대),예능(중),피아노(초급),음악,"피아노(초급):80000, 피아노(중급):140000, 피아노(고급):160000, 피아노(입시):180000",Y,N,세종특별자치시  마음안1로 7,", 1420동 113호 (고운동, 가락마을14단지 근린생활시설)",30062,,20231018
I10,세종특별자치시교육청,세종특별자치시,교습소,3000014863,1인주의영어교습소,20240416,20240416,개원,        ,        ,0,16,입시.검정 및 보습,,,, ,Y, ,세종특별자치시 산울2로 10,"(산울동,산울마을6단지) 리체스힐 근린생활시설 B동 212호",30091,,20240421
I10,세종특별자치시교육청,세종특별자치시,교습소,3000016936,A탑영어교습소,20260504,20260504,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,세종특별자치시 아름서길 3,"204호(아름동, 세종시 아카데미타워)(아름동)",30100,010-4001-1548,20260607
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012161,CHOI's SCIENCE 초이스과학교습소,20210726,20210726,개원,        ,99991231,48,8,입시.검정 및 보습,보통교과,기본,보습,"기본:80000, 심화:140000, 중등반:160000, 고등반:250000",Y,N,세종특별자치시  다정북로 109,", 가온마을3단지 상가동 206호 (다정동)",30124,010-8217-7950,20260111
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012195,DEAR도서관영어교습소,20210916,20210916,개원,        ,99991231,63,9,국제화,외국어,특강2,실용외국어(유아/초·중·고),"특강2:330000, 영어PR:130000, 영어SC2:60000, 영어1:120000, 영어2:160000, 영어3:200000, 영어R1:150000, 영어R2:200000, 영어R3:265000, 영어SCN1:100000, 영어SCN2:180000, 영어SCN3:250000, 영어SCN4:320000, 특강1:250000",Y,N,세종특별자치시  다정중앙로 58,", 다정메디프라자 606호 (다정동)",30123,010-9961-5759,20251005
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012531,ERC영어교습소,20221212,20221212,개원,        ,99991231,48,8,국제화,외국어,초등영어A,외국어,"초등영어A:150000, 초등영어B:160000, 초등영어C:170000, 초등영어D:180000, 초등영어E:190000, 초등영어F:200000, 초등영어G:210000, 초등영어H:220000, 초등영어I:230000, 중등영어:260000",Y,N,세종특별자치시  소담1로 16,", 206호 (소담동, 지엘플렉스2)",30150,null,20260315
I10,세종특별자치시교육청,세종특별자치시,교습소,3000016893,ERC영어독서클럽 다정초점 영어교습소,20260219,20260219,개원,        ,        ,0,6,국제화,,,, ,Y, ,세종특별자치시 다정중앙로 53,", 503호(다정동, 페스티발1)",30124,,20260222
I10,세종특별자치시교육청,세종특별자치시,교습소,3000015024,ERC영어독서클럽영어교습소,20241218,20241218,개원,        ,        ,0,5,국제화,외국어,초등A,실용외국어(유아/초·중·고),"초등A:207000, 초등B:230000, 초등C:250000, 중등A:260000, 중등B:270000, 중등C:280000, 고등A:350000, 고등B:370000",Y, ,세종특별자치시 마음안1로 167,"상가 102호(고운동,가락마을17단지)",30062,,20250406
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012634,ITC영어교습소,20230329,20230329,개원,        ,99991231,30,6,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,세종특별자치시  국세청로 45,", B229호 (나성동, 나릿재마을 3단지 상가동)",30128,,20231018
I10,세종특별자치시교육청,세종특별자치시,교습소,3000014968,JK수학교습소,20240926,20240926,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,세종특별자치시 산울7로 11,"상가E 233호(산울동,산울마을7단지 705동 하부)",30091,,20241006
I10,세종특별자치시교육청,세종특별자치시,교습소,3000014980,JK영어교습소,20241018,20241018,개원,        ,        ,0,7,국제화,,,, ,Y, ,세종특별자치시 도움8로 81,세종일번가 A-404호(어진동),30107,,20241110
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012171,J제이수학교습소,20210809,20210809,개원,        ,99991231,20,4,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:160000, 중등수학:220000, 고등수학:300000",Y,N,세종특별자치시  남세종로 384,", 호려울마을9단지 상가동 102호 (보람동)",30150,010-7499-0430,20260201
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012057,M.S스터디수학교습소,20210216,20210216,개원,        ,99991231,25,5,입시.검정 및 보습,보통교과,초등A,보습,"초등A:160000, 초등B:240000, 초등C:160000, 초등D:190000, 중등A:165000, 중등B:200000, 고등A:180000, 고등B:220000",Y,N,세종특별자치시  시청대로 236,", 새샘마을3단지 비상가동 비-122호 (소담동)",30151,,20231018
I10,세종특별자치시교육청,세종특별자치시,교습소,3000016890,MJ영어교습소,20260212,20260212,개원,        ,        ,0,8,국제화,,,, ,Y, ,세종특별자치시 다정남로 22,", 110호(다정동,가온마을1단지 근린생활시설-1)",30124,,20260222
I10,세종특별자치시교육청,세종특별자치시,교습소,3000016782,S&L영어교습소,20250829,20250829,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,세종특별자치시 한누리대로 2016,"708호(소담동, 타임빌딩)",30151,010-5404-2696,20260329
I10,세종특별자치시교육청,세종특별자치시,교습소,3000014788,SM영어교습소,20231218,20231218,개원,        ,        ,0,6,입시.검정 및 보습,,,, ,Y, ,세종특별자치시 보듬4로 20,"1015동(상가-2) 114호(도담동,도램마을10단지)",30098,010-3645-2623,20240128
I10,세종특별자치시교육청,세종특별자치시,교습소,3000014835,SNS과학교습소,20240229,20240229,개원,        ,        ,0,0,입시.검정 및 보습,보통교과,중등과학(중),보습,"중등과학(중):252000, 특목과학1(중):252000, 특목과학2(중):304000, 고1과학(고):307000, 고2과학(고):336000, 고3과학(고):364000, 수능과학(고):400000",Y, ,세종특별자치시 한누리대로 249,(나성동) 에스제이타워 606호,30127,,20260111
I10,세종특별자치시교육청,세종특별자치시,교습소,3000012135,ST영어교습소,20210615,20210615,개원,        ,99991231,28,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,세종특별자치시  보듬4로 9,", 카림애비뉴 2층 50호 (도담동, 도램마을11단지)",30098,,20231018
