시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
E10,인천광역시교육청,강화군,교습소,9763,A+수학교습소,20090907,20090907,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,초등수학(5일반),보습,"초등수학(5일반):180000, 초등수학(3일반):180000, 중등수학(5일반):280000, 중등수학(3일반):280000, 고등수학(5일반):380000, 고등수학(3일):380000",Y,N,인천광역시 강화군 강화읍 강화대로248번길 22,(강화읍),23025,032-932-0403,20231018
E10,인천광역시교육청,강화군,교습소,3000023431,CMS영어교습소,20240927,20240927,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,인천광역시 강화군 강화읍 갑룡길 81-5,1층,23024,,20260201
E10,인천광역시교육청,강화군,교습소,10577,MathClinic수학교습소,20100528,20100528,개원,        ,99991231,12,4,입시.검정 및 보습,보통교과,초등(수학),보습,"초등(수학):230000, 중등(수학):250000, 고등(수학):330000",Y,N,인천광역시 강화군 강화읍 북문길9번길 19,", 3층 (강화읍)",23032,032-934-4922,20231217
E10,인천광역시교육청,강화군,교습소,3000013190,OK-TOP(오케이탑)수학교습소,20160302,20160225,개원,        ,99991231,12,6,입시.검정 및 보습,보통교과,수학(중등),보습,"수학(중등):312800, 수학(고등):451880",Y,N,인천광역시 강화군 강화읍 강화대로 448-1,", 3층 (강화읍)",23032,null,20231217
E10,인천광역시교육청,강화군,교습소,3000012946,공쌤글사랑국어교습소,20151027,20151027,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,인천광역시 강화군 강화읍 북문길 10,", 2층 (강화읍)",23031,,20231018
E10,인천광역시교육청,강화군,교습소,3000023524,국어의정석교습소,20241101,20241101,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등국어,보습,"초등국어:120000, 중등국어:150000, 고등국어:200000",Y, ,인천광역시 강화군 강화읍 동문안길 20,2층,23031,,20260201
E10,인천광역시교육청,강화군,교습소,3000014255,권쌤영어교습소,20170816,20170816,개원,        ,99991231,12,6,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:200000, 중등영어:250000",Y,N,인천광역시 강화군 길상면 강화동로 4,", 1층 일부 (길상면)",23050,,20231018
E10,인천광역시교육청,강화군,교습소,3000015928,그리고그리다미술교습소,20200227,20200225,개원,        ,99991231,6,9,예능(대),예능(중),유아/초등,미술,유아/초등:70000,Y,N,인천광역시 강화군 강화읍 갑룡길 69,", 1층 (강화읍, 대한검도)",23024,,20260201
E10,인천광역시교육청,강화군,교습소,9353,그림나라미술교습소,20090323,20090323,개원,        ,99991231,63,8,예능(대),예능(중),미술(유아초등A),미술,"미술(유아초등A):50000, 미술(유아초등B):94000, 미술(유아초등c):120000, 미술(유아초등D):130000, 미술(유아초등E):165000, 중등입시A:120000, 중등입시B:180000",Y,N,인천광역시 강화군 강화읍 강화대로248번길 17,(강화읍),23025,032-933-2506,20231018
E10,인천광역시교육청,강화군,교습소,3000016260,그림책톡톡창의융합독서코칭교습소,20201201,20201201,개원,        ,99991231,108,9,기타(대),기타(중),(유치부)그림책창의놀이,기타(소),"(유치부)그림책창의놀이:80000, (유치부)그림책스토리텔링(병행):50000, (유치부)유아한글(병행):50000, (유치부)그림책하브루타:100000, 초등부(그림책창의놀이:90000, (초등부)초등한글(병행):50000, (초등부)문해력(병행):50000, (초등부)하브루타독서논술(저):110000, (초등부)교과독서논술:100000, (초등부)하브루타독서논술(고):120000, (초등부)독해력(고):85000, (초등부)그림책감성코칭:130000",Y,N,인천광역시 강화군 강화읍 강화대로248번길 28-2,", 1층 5호 (강화읍)",23025,,20231018
E10,인천광역시교육청,강화군,교습소,3000018055,글샘명샘문해톡논술교습소,20220418,20220414,개원,        ,99991231,72,9,입시.검정 및 보습,보통교과,초등논술(기초),보습·논술,"초등논술(기초):100000, 초등논술(1-4):105000, 초등논술(5):110000, 초등논술(6):115000, 중등논술:147000, 초등교과논술(병행):43000, 초등역사논술(병행):87000, 초등스마트논술:59000",Y,N,인천광역시 강화군 강화읍 강화대로248번길 28-2,", 102호 (강화읍)",23025,,20260614
E10,인천광역시교육청,강화군,교습소,2000004552,김선희피아노교습소,20110530,19960412,개원,        ,99991231,75,5,예능(대),예능(중),기초(주4회),음악,"기초(주4회):150000, 준중급(주4회):160000, 중급(주4회):170000, 고급(주4회):180000, 기초(주3회):140000, 준중급(주3회):150000, 중급(주3회):160000, 고급(주3회):170000, 입시,성인,취미:250000, 입시:500000",Y,N,인천광역시 강화군 강화읍 강화대로 431,", 3층 (강화읍)",23033,032-933-2731,20250601
E10,인천광역시교육청,강화군,교습소,3000017091,노랑수학교습소,20220325,20220314,개원,        ,99991231,8,4,입시.검정 및 보습,보통교과,고등수학,보습,"고등수학:360000, 초등수학:260000, 중등수학:290000",Y,N,인천광역시 강화군 선원면 중앙로 274-2,", 상가동 108호 (선원면, 창리피아노)",23040,010-8918-3620,20260201
E10,인천광역시교육청,강화군,교습소,3000024147,띵크미술교습소,20250825,20250825,개원,        ,        ,0,0,예능(대),,,, ,Y, ,인천광역시 강화군 강화읍 강화대로248번길 24,2층,23025,,20250907
E10,인천광역시교육청,강화군,교습소,3000011172,리틀아트미술교습소,20121115,20121115,개원,        ,99991231,36,8,예능(대),예능(중),주3회,미술,"주3회:150000, 주5회:190000",Y,N,인천광역시 강화군 강화읍 갑룡길,", 83, 1층 일부 (강화읍)",23036,032-934-1438,20260405
E10,인천광역시교육청,강화군,교습소,3000024202,모여봐요초등수학교습소,20251016,20251016,개원,        ,        ,0,7,입시.검정 및 보습,,,, ,Y, ,인천광역시 강화군 선원면 중앙로 162-31,서희근린상가 201동 3호 중 일부,23041,,20251019
E10,인천광역시교육청,강화군,교습소,3000016900,목동수학클리닉수학교습소,20211231,20211224,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등학생,보습,"초등학생:200000, 중학생:300000, 고등학생:400000",Y,N,인천광역시 강화군 강화읍 강화대로 392-6,", 2층 (강화읍, 골목순대국집)",23031,,20231018
