시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
Q10,전라남도교육청,강진군,교습소,3000012419,그림놀이터,20161007,20161007,개원,        ,99991231,36,9,예능(대),예능(중),미술,미술,미술:120000,Y,N,전라남도 강진군 강진읍 중앙로 88,", 106호 (강진읍)",59234,,20231018
Q10,전라남도교육청,강진군,교습소,3000022865,꿈담을교습소,20241226,20241206,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,전라남도 강진군 강진읍 중앙동길 2,103호,59238,,20250727
Q10,전라남도교육청,강진군,교습소,3000013861,바이토리음악교습소,20200407,20200407,개원,        ,99991231,54,9,예능(대),예능(중),,음악, ,Y,N,전라남도 강진군 강진읍 중앙로 69,", 1층 (강진읍)",59235,,20231018
Q10,전라남도교육청,강진군,교습소,3000012438,박학천 논술 교습소,20161027,20161027,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,전라남도 강진군 강진읍 영랑로 58,", 3층 (강진읍)",59229,,20231018
Q10,전라남도교육청,강진군,교습소,3000013789,베스트영어교습소,20200128,20200128,개원,        ,99991231,9,9,입시.검정 및 보습,보통교과,영어,보습,"영어:230000, 영어:250000, 영어:300000",Y,N,전라남도 강진군 강진읍 중앙로 88,", 208호 (강진읍, 금호상가)",59234,,20260308
Q10,전라남도교육청,강진군,교습소,4626,영키타교습소,20061120,20061115,개원,        ,99991231,54,9,예능(대),예능(중),키타,음악,키타:100000,Y,N,전라남도 강진군 강진읍 보은로3길 36,(강진읍),527802,,20231018
Q10,전라남도교육청,강진군,교습소,3000013185,윤선생우리집앞영어교실교습소,20180623,20180529,개원,        ,99991231,36,9,국제화,외국어,초등영어,실용외국어(유아/초·중·고),"초등영어:200000, 중등영어:300000",Y,N,전라남도 강진군 마량면 까막섬로 37,(마량면),59267,061-433-0567,20231018
Q10,전라남도교육청,강진군,교습소,3000022866,이정현수학교습소,20250113,20250113,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,전라남도 강진군 강진읍 평동2길 7-2,2층,59234,,20260405
Q10,전라남도교육청,강진군,교습소,3000012024,최고수학,20151109,20151103,개원,20220901,20221130,27,9,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):200000, 수학(중등):250000, 수학(고등):300000",Y,N,전라남도 강진군 강진읍 중앙로 88,", 202호 (강진읍, 금호상가)",527805,,20231018
Q10,전라남도교육청,강진군,교습소,3000013711,최은복피아노교습소,20191127,20191127,개원,        ,99991231,27,9,예능(대),예능(중),,음악, ,Y,N,전라남도 강진군 강진읍 탐진로 51-11,", 1층 103호 (강진읍)",59227,061-433-8680,20231018
