시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
P10,전북특별자치도교육청,고창군,교습소,3000017805,굿키즈 영어교습소,20231124,20231124,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,영어,보습,영어:170000,Y, ,전북특별자치도 고창군 고창읍 교촌3길 11,.,56428,,20240310
P10,전북특별자치도교육청,고창군,교습소,3000021792,그린그림 미술교습소,20260220,20260220,개원,        ,        ,0,5,예능(대),,,, ,Y, ,전북특별자치도 고창군 고창읍 보릿골로 195-14,현대아파트상가동 104-2호,56434,,20260301
P10,전북특별자치도교육청,고창군,교습소,2000007643,기쁨피아노교습소,19931224,19931224,개원,        ,99991231,36,4,예능(대),예능(중),피아노(초급),음악,"피아노(초급):130000, 피아노(중급):140000, 피아노(고급):150000, 피아노(체르니40이상):170000",Y,N,전북특별자치도 고창군 고창읍 교촌1길 12,.,56428,063-561-2916,20240310
P10,전북특별자치도교육청,고창군,교습소,3000014439,김공수영어교습소,20191126,20191128,개원,        ,99991231,8,8,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,전북특별자치도 고창군 고창읍 모양성로 41,1층,56433,010-9005-6110,20240310
P10,전북특별자치도교육청,고창군,교습소,3000013922,김유식수학교습소,20181022,20181022,개원,        ,99991231,24,8,입시.검정 및 보습,보통교과,,보습, ,Y,N,전북특별자치도 고창군 고창읍 교촌3길 4,102호,56428,010-3600-4885,20240310
P10,전북특별자치도교육청,고창군,교습소,3000013923,날개달린그림미술교습소,20181022,20181022,개원,        ,99991231,16,8,예능(대),예능(중),,미술, ,Y,N,전북특별자치도 고창군 고창읍 교촌3길 4,1층,56428,010-3919-3395,20240310
P10,전북특별자치도교육청,고창군,교습소,3000015212,더채움영어 교습소,20220111,20220111,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):250000, 영어(중등):300000, 영어(고등):350000",Y,N,전북특별자치도 고창군 고창읍 성산6길 13,2층,56433,010-6852-2586,20240211
P10,전북특별자치도교육청,고창군,교습소,3000015667,맞춤수학교습소,20230323,20230323,개원,        ,99991231,18,6,입시.검정 및 보습,보통교과,수학(초등),보습, ,Y,N,전북특별자치도 고창군 고창읍 중거리당산로 177,3층,56432,010-9957-5903,20240310
P10,전북특별자치도교육청,고창군,교습소,2000007676,뮤직캠프유빌라테피아노교습소,20010402,20010402,개원,        ,99991231,36,5,예능(대),예능(중),피아노(초급),음악,"피아노(초급):130000, 피아노(중급):140000, 피아노(고급):150000, 피아노(체르니40이상):170000",Y,N,전북특별자치도 고창군 고창읍 중앙로 170-6,1층(가온채아파트),56436,063-563-1126,20240310
P10,전북특별자치도교육청,고창군,교습소,3000018154,바첼 음악 교습소,20241216,20241216,개원,        ,        ,0,0,예능(대),예능(중),바이올린(초급),음악,"바이올린(초급):200000, 바이올린(중급):220000, 바이올린(고급):240000, 첼로(초급):200000, 첼로(중급):220000, 첼로(고급):240000, 플룻(초급):200000, 플룻(중급):220000, 플룻(고급):240000",Y,N,전북특별자치도 고창군 고창읍 월곡로 27,101동 102호(벽산블루밍아파트),56431,,20250112
P10,전북특별자치도교육청,고창군,교습소,3000014831,바흐작곡교습소,20201204,20201204,개원,        ,99991231,24,2,예능(대),예능(중),초급,음악,"초급:100000, 중급:110000, 고급:120000, 초급2반:60000, 중급2반:65000, 고급2반:70000, 입시반:220000, 일반부:160000",Y,N,전북특별자치도 고창군 고창읍 동리로 19,2층,56437,010-4585-0967,20240310
P10,전북특별자치도교육청,고창군,교습소,41595,배수미수학교습소,20100104,20091231,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,수학(특수),보습,"수학(특수):150000, 수학(일반):150000, 수학(특수,검정고시):210000, 수학(일반):210000, 수학(특수,검정고시):280000, 수학(일반):280000",Y,N,전북특별자치도 고창군 고창읍 성산로 19,202호(고창읍내휴먼시아),56435,063-563-5013,20240310
P10,전북특별자치도교육청,고창군,교습소,3000014257,송은혜수학교실교습소,20190607,20190607,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,전북특별자치도 고창군 고창읍 중앙로 232,1층,56432,010-9219-7265,20240310
P10,전북특별자치도교육청,고창군,교습소,3000017901,수상한공작소미술교습소,20240130,20240130,개원,        ,        ,0,6,예능(대),예능(중),미술(초급),미술,"미술(초급):80000, 미술(중급):100000, 미술(고급):120000",Y, ,전북특별자치도 고창군 고창읍 교흥길 19-4,1층,56432,010-4878-8407,20240211
P10,전북특별자치도교육청,고창군,교습소,3000011625,아로마(Aroma)영어교습소,20140317,20140318,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,전북특별자치도 고창군 고창읍 교촌3길 13,1층(태현빌(BJ홈타운)),56428,010-2671-3113,20240310
P10,전북특별자치도교육청,고창군,교습소,3000014607,엠제이잉글리쉬영어교습소,20200417,20200417,개원,        ,99991231,12,6,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,전북특별자치도 고창군 고창읍 성산5길 9,2층,56433,010-8482-3500,20240310
P10,전북특별자치도교육청,고창군,교습소,3000010392,열린수학교습소,20110927,20110927,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):150000, 수학(중등):230000",Y,N,전북특별자치도 고창군 고창읍 중거리당산로 101,.,56439,010-2858-7715,20250112
P10,전북특별자치도교육청,고창군,교습소,3000014125,우빈수학교습소,20190305,20190305,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,수학(초),보습,"수학(초):150000, 수학(중):200000, 수학(고):300000",Y,N,전북특별자치도 고창군 고창읍 월곡공원2길 43,1층,56430,010-8889-2194,20240310
P10,전북특별자치도교육청,고창군,교습소,3000015270,윤선생우리집앞 고창영어교습소,20220224,20220224,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,영어(초등),보습, ,Y,N,전북특별자치도 고창군 고창읍 교촌3길 4,3층,56428,010-7284-5509,20240310
P10,전북특별자치도교육청,고창군,교습소,3000013925,이레수학교습소,20181024,20181024,개원,        ,99991231,9,3,입시.검정 및 보습,보통교과,수학(초),보습, ,Y,N,전북특별자치도 고창군 고창읍 중앙로 269,1층,56428,010-2741-1937,20240310
P10,전북특별자치도교육청,고창군,교습소,3000017835,이루다 수학 교습소,20231218,20231218,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,전북특별자치도 고창군 고창읍 교촌3길 11,1층,56428,,20240310
P10,전북특별자치도교육청,고창군,교습소,3000013332,잉글리쉬 캠프,20051129,20170620,개원,        ,99991231,24,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,전북특별자치도 고창군 고창읍 성산로 19,204호(고창읍내휴먼시아),56435,010-8927-6078,20240310
P10,전북특별자치도교육청,고창군,교습소,3000013696,정숙퀸영어교습소,20180403,20180403,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):200000, 영어(중등):250000, 영어(고등):300000",Y,N,전북특별자치도 고창군 고창읍 성산로 49,.,56434,010-8654-1333,20251116
