시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
T10,제주특별자치도교육청,서귀포시,교습소,3000016425,3030영어교습소,20230821,20230821,개원,        ,        ,0,7,입시.검정 및 보습,보통교과,초등영어A,보습,"초등영어A:150000, 초등영어B:170000, 초등영어C:175000, 중등영어A:210000",Y, ,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 3,201호,63530,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,4419,E-mate영어교습소,20090122,20090122,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:142000, 중등영어:210000",Y,N,제주특별자치도 서귀포시 효돈로 158,(하효동),63606,064-767-4885,20240623
T10,제주특별자치도교육청,서귀포시,교습소,3000011141,EM수학교습소,20170302,20170302,개원,        ,99991231,24,4,입시.검정 및 보습,보통교과,수학(초),보습,"수학(초):150000, 수학(중):180000",Y,N,제주특별자치도 서귀포시 중앙로 159-1,", 1층 (서홍동)",63584,,20231231
T10,제주특별자치도교육청,서귀포시,교습소,3000010152,EM영어교습소,20111031,20111031,개원,        ,99991231,35,5,입시.검정 및 보습,보통교과,영어(초),보습,"영어(초):150000, 영어(중):180000",Y,N,제주특별자치도 서귀포시 중앙로 159-1,", 1층 (서홍동)",63584,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,4557,GreenIvy영어교습소,20091117,20091117,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,초등영어/1일70분/주5회,보습,"초등영어/1일70분/주5회:150000, 중등영어/1일80분/주5회:250000",Y,N,제주특별자치도 서귀포시 중앙로101번길 13,", 2층 (서홍동, 헤어지지마)",63584,070-7807-7836,20260208
T10,제주특별자치도교육청,서귀포시,교습소,3000012363,J(제이)피아노교습소,20230329,20230329,개원,        ,99991231,5,1,예능(대),예능(중),,음악, ,Y,N,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 36,", C동 406호(가보드림타운) (대정읍)",63644,null,20240128
T10,제주특별자치도교육청,서귀포시,교습소,4722,J수학교습소,20100916,20100916,개원,        ,99991231,18,3,입시.검정 및 보습,보통교과,수학(초),보습, ,Y,N,제주특별자치도 서귀포시 동홍중앙로66번길 41,", 1층 (동홍동, 친친학원)",63587,070-8248-1318,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016708,Olle(올레)영어교습소,20250418,20250418,개원,        ,        ,0,7,국제화,,,, ,Y, ,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9,112호,63644,,20250504
T10,제주특별자치도교육청,서귀포시,교습소,3000016634,SR아카데미영어교습소,20241115,20241115,개원,        ,        ,0,6,국제화,외국어,초등 고급영어,실용외국어(유아/초·중·고),"초등 고급영어:336000, 중등 고급영어:336000, 고등 고급영어:420000",Y,N,제주특별자치도 서귀포시 동홍서로 37,(동홍동)2층,63589,,20241208
T10,제주특별자치도교육청,서귀포시,교습소,3000016424,ST수학교습소,20230811,20230811,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,,보습,"초등수학A:320000, 초등수학B:480000",Y, ,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9,",114호",63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011233,TANZHAUS무용교습소,20170621,20170621,개원,        ,99991231,63,9,예능(대),예능(중),,무용, ,Y,N,제주특별자치도 서귀포시 신서로 66,", 1층 (강정동)",63566,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012323,TED MATH 수학교습소,20230203,20230201,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,중등수학B,보습,"중등수학B:230000, 고등수학A:350000, 고등수학B:120000, 초등수학:195000, 중등수학A:230000",Y,N,제주특별자치도 서귀포시 동홍서로 109,", 1층 (동홍동, 그린크리닝뱅크)",63588,null,20250831
T10,제주특별자치도교육청,서귀포시,교습소,3000010909,TalkTalkEnglish영어교습소,20160106,20160105,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 동홍중앙로90번길 20-8,"(동홍동), 3층",63587,,20240204
T10,제주특별자치도교육청,서귀포시,교습소,3000010578,WHYPLUS수학교습소,20140324,20140319,개원,        ,99991231,40,5,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:170000, 중등수학:250000, 고등수학:300000",Y,N,제주특별자치도 서귀포시 중앙로 209,", 2층 (서홍동)",63584,null,20260419
T10,제주특별자치도교육청,서귀포시,교습소,3000010021,Whyplus과학교습소,20110309,20110309,개원,        ,99991231,63,9,입시.검정 및 보습,보통교과,과학(초),보습,"과학(초):170000, 과학(중):250000, 과학(고):300000",Y,N,제주특별자치도 서귀포시 중앙로 209,", 2층 (서홍동)",63584,null,20260419
T10,제주특별자치도교육청,서귀포시,교습소,3000011686,YBM잉글루제주대정제1영어교습소,20190710,20190704,개원,        ,99991231,32,8,입시.검정 및 보습,보통교과,"초등영어(1일 105분, 주5회 월2,100분)",보습,"초등영어(1일 105분, 주5회 월2,100분):242000, 중등영어A(1일 150분, 주4회 월1,920분):235000, 중등영어B(1일 75분, 주4회 월2,100분):270000, 고등영어(1일 225분, 주2회 월 1,800분):243000",Y,N,제주특별자치도 서귀포시 대정읍 상모로273번길 40,", 2층 200호 (대정읍)",63513,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012123,감성발전소음악교습소,20211216,20211214,개원,        ,99991231,42,6,예능(대),예능(중),"창의작곡(1일 65분, 주5회 월 1,300분)",음악,"창의작곡(1일 65분, 주5회 월 1,300분):200000",Y,N,제주특별자치도 서귀포시 대청로 34,", 제주강정유승한내들퍼스트오션 상가동 2층 209호 (강정동)",63559,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012068,개미와베짱이수학교습소,20210818,20210818,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 안덕면 화순중앙로 29,", 2층 (안덕면)",63530,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016547,그레이스의꼼꼼영어교습소,20240402,20240402,개원,        ,        ,0,8,국제화,외국어,초등 고급영어A,실용외국어(유아/초·중·고),"초등 고급영어A:240000, 초등 고급영어B:200000, 초등 고급영어C:200000",Y, ,제주특별자치도 서귀포시 신효중앙로 7,", 1층(신효동)",63606,,20260208
T10,제주특별자치도교육청,서귀포시,교습소,3000022412,그리다미술교습소,20260527,20260527,개원,        ,        ,0,0,예능(대),,,, ,Y, ,제주특별자치도 서귀포시 대정읍 상모대서로 10,.,63510,,20260614
T10,제주특별자치도교육청,서귀포시,교습소,3000020482,그쌤영어교습소,20260305,20260305,개원,        ,        ,0,5,국제화,,,, ,Y,N,제주특별자치도 서귀포시 천제연로207번길 10,201호(중문동),63545,,20260329
T10,제주특별자치도교육청,서귀포시,교습소,3000016673,글로리영어교습소,20250107,20250107,개원,        ,        ,0,0,국제화,,,, ,Y, ,제주특별자치도 서귀포시 중앙로195번길 6,(서홍동) 2층,63584,,20250223
T10,제주특별자치도교육청,서귀포시,교습소,3000010339,김영심피아노교습소,20121018,20121018,개원,        ,99991231,45,5,예능(대),예능(중),피아노(초급),음악, ,Y,N,제주특별자치도 서귀포시 중앙로 167,"(서홍동, 아름다운가게)",63584,064-732-5646,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016416,남원미래엔영어교습소,20230803,20230803,개원,        ,        ,0,5,국제화,외국어,초등영어A,실용외국어(유아/초·중·고),"초등영어A:150000, 초등영어B:200000, 중등영어A:200000, 중등영어B:250000, 고등영어A:330000",Y,N,제주특별자치도 서귀포시 남원읍 남한로 8,202호,63621,,20250608
T10,제주특별자치도교육청,서귀포시,교습소,3000012010,네이든드럼교습소,20210402,20210402,개원,        ,99991231,40,4,예능(대),예능(중),,음악, ,Y,N,제주특별자치도 서귀포시 대정읍 글로벌에듀로 390,", A동 110호 (남영에듀클래스, 대정읍)",63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016665,놀작아트스튜디오미술교습소,20250117,20250117,개원,        ,        ,0,8,예능(대),,,, ,Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로 382,A동 111호,63644,,20250209
T10,제주특별자치도교육청,서귀포시,교습소,3000010502,능률주니어랩영어교습소,20131108,20131108,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,"초등영어(1일 80분, 주5회, 월 1,600분)",보습,"초등영어(1일 80분, 주5회, 월 1,600분):180000, 중등영어(1일 90분, 주5회, 월 1,800분):230000, 고등영어(1일 120분, 주5회, 월 2,400분):300000",Y,N,제주특별자치도 서귀포시 신동로27번길 24,"(서호동, 한솔고기국수)",63566,null,20240512
T10,제주특별자치도교육청,서귀포시,교습소,3000012331,니하오차이랑중국어교습소,20230210,20230207,개원,        ,99991231,24,4,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,제주특별자치도 서귀포시 일주동로 8678,", 4층 (동홍동)",63585,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011628,다독다독국어교습소,20190318,20190313,개원,        ,99991231,30,5,입시.검정 및 보습,보통교과,"중등국어(1일 120분, 주3회, 월 1,440분)",보습,"중등국어(1일 120분, 주3회, 월 1,440분):180000, 고등국어A(1일 120분, 주4회, 월1,920분):260000, 고등국어B(1일 120분, 주5회, 월2,400분):330000, 고등국어C(1일150분, 주4회, 월2,400분):330000, 고등국어D(1일120분, 주2회, 월2,400분):330000, 고등국어E(1일240분, 주2회, 월1,920분):260000",Y,N,제주특별자치도 서귀포시 일주동로 8709-1,", 2층 (서귀동)",63593,064-733-1248,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016635,대니엘잉글리쉬영어교습소,20241119,20241119,개원,        ,        ,0,6,국제화,,,, ,Y,N,제주특별자치도 서귀포시 동홍중앙로66번길 22,(동홍동) 1층,63587,,20241201
T10,제주특별자치도교육청,서귀포시,교습소,3000011021,대정스마트해법수학교습소,20160901,20160901,개원,        ,99991231,36,9,입시.검정 및 보습,보통교과,"초등수학(주4회, 1,440분)",보습,"초등수학(주4회, 1,440분):160000, 중등수학(주4회, 1,440분):170000",Y,N,제주특별자치도 서귀포시 대정읍 신영로 123-1,", 2층 (대정읍)",63508,null,20240310
T10,제주특별자치도교육청,서귀포시,교습소,3000016709,대정이음스즈키음악교습소,20250421,20250421,개원,        ,        ,0,5,예능(대),,,, ,Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로 382,", 이노에듀타운 A동 102호",63644,,20260329
T10,제주특별자치도교육청,서귀포시,교습소,3580,대정해법수학교습소,20040903,20040903,개원,        ,99991231,32,8,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:160000, 중등수학:220000, 고등수학:280000",Y,N,제주특별자치도 서귀포시 대정읍 상모로 312-7,", 2층 (대정읍, 한라카센터)",63510,064-794-6535,20250831
T10,제주특별자치도교육청,서귀포시,교습소,3000011454,더(THE)국어교습소,20180528,20180523,개원,        ,99991231,24,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 일주동로 8662,", 2층 (동홍동)",63585,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012251,더피아노음악교습소,20220816,20220816,개원,        ,99991231,8,3,예능(대),예능(중),,음악, ,Y,N,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9,", 제주아이파크스위트R 1층 107호 (대정읍)",63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000010761,동홍탑매쓰교습소,20150311,20150311,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,수학A(초등),보습, ,Y,N,제주특별자치도 서귀포시 동홍북로 34,", 2층 (동홍동, 신제일보습학원)",63588,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016663,드럼공간영어교육도시2호점드럼교습소,20250115,20250115,개원,        ,        ,0,4,예능(대),,,, ,Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,", 133호",63644,,20250119
T10,제주특별자치도교육청,서귀포시,교습소,3000011551,디에스과학교습소,20181228,20181227,개원,        ,99991231,16,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 일주동로 8672,", 3층 (동홍동, 예가)",63585,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3577,라인미술교습소,20040819,20040819,개원,        ,99991231,49,7,예능(대),예능(중),"미술A(1일 65분, 주5회 월 1,300분)",미술,"미술A(1일 65분, 주5회 월 1,300분):154000, 미술B(1일 80분, 주5회 월 1,400분):166000",Y,N,제주특별자치도 서귀포시 중문동 1950-3,(중문동),63546,064-738-7992,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011023,라임미술교습소,20160901,20160901,개원,        ,99991231,54,6,예능(대),예능(중),"미술A(유,초,중)",미술,"미술A(유,초,중):33000, 미술B(유,초,중):65000, 미술C(유,초,중):90000, 미술D(유,초,중):140000",Y,N,제주특별자치도 서귀포시 대정읍 신영로 123-1,", 2층 (대정읍)",63508,,20240310
T10,제주특별자치도교육청,서귀포시,교습소,3000016426,럭스영어교습소,20230821,20230821,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등영어,입시,"초등영어:190000, 중등영어:230000, 고등영어A:300000, 고등영어:350000",Y, ,제주특별자치도 서귀포시 동홍동로26번길 8,"(동홍동), 201호",63587,,20240128
T10,제주특별자치도교육청,서귀포시,교습소,3000012401,레이영어교습소,20230531,20230530,개원,        ,99991231,45,9,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,제주특별자치도 서귀포시 대정읍 하모상가로 38-2,", 201호 (대정읍)",63508,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012324,리드인독서논술교습소,20230210,20230202,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,"초등논술(1일 85분, 주5회 월1,700분)",보습,"초등논술(1일 85분, 주5회 월1,700분):200000, 중등논술(1일 105분, 주5회 월2,100분):270000, 고등논술(1일 120분, 주5회 월2,400분):330000",Y,N,제주특별자치도 서귀포시 표선면 표선중앙로 51,1호,63629,,20241201
T10,제주특별자치도교육청,서귀포시,교습소,3000011989,마음을그리는아이들미술교습소,20210128,20210128,개원,        ,99991231,45,9,예능(대),예능(중),,미술, ,Y,N,제주특별자치도 서귀포시 신서귀로76번길 6-4,", 1층 (서호동)",63565,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012429,맨큐경제AP/SAT수학교습소,20230717,20230717,개원,        ,        ,0,4,국제화,외국어,SAT수학,실용외국어(유아/초·중·고),"SAT수학:110000, Ap수학:225000",Y, ,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8,", E동 103호",63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000020435,메릭빌영어교습소,20251217,20251217,개원,        ,        ,0,6,국제화,,,, ,Y, ,제주특별자치도 서귀포시 안덕면 사계중앙로18번길 3,", 안덕면",63528,,20251228
T10,제주특별자치도교육청,서귀포시,교습소,3000010106,명문영어교습소,20110725,20110725,개원,        ,99991231,25,5,입시.검정 및 보습,보통교과,중등영어,보습,"중등영어:300000, 고등영어:350000",Y,N,제주특별자치도 서귀포시 일주동로 8614,"3층 (동홍동, GM대우자동차)",63588,064-738-3478,20240512
T10,제주특별자치도교육청,서귀포시,교습소,3000011099,문희남수학교습소,20161220,20161219,개원,        ,99991231,63,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 중앙로 209,", 3층 (서홍동)",63584,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011323,뮤직트리피아노교습소,20171212,20171211,개원,        ,99991231,40,5,예능(대),예능(중),피아노중급C,음악,"피아노중급C:149000, 피아노고급A:190000, 피아노고급B:175000, 피아노고급C:159000, 피아노초급A:165000, 피아노초급B:151000, 피아노중급A:178000, 피아노중급B:163000",Y,N,제주특별자치도 서귀포시 중문동 1950-3,(중문동),63540,,20250309
T10,제주특별자치도교육청,서귀포시,교습소,3000010445,미미쌤영어교습소,20130708,20130708,개원,        ,99991231,24,4,입시.검정 및 보습,보통교과,영어(초등학교),보습, ,Y,N,제주특별자치도 서귀포시 동홍중앙로 58-16,", 2층 (동홍동)",63587,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,4524,민들레푸르넷논술교습소,20090814,20090814,개원,        ,99991231,40,8,입시.검정 및 보습,보통교과,"초등논술(주5회, 1일 40분 수업)",보습,"초등논술(주5회, 1일 40분 수업):90000",Y,N,제주특별자치도 서귀포시 중앙로101번길 18,"(서홍동, 서홍떡집)",63584,064-733-9517,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000020481,반짝미술교습소,20260303,20260303,개원,        ,        ,0,8,예능(대),,,, ,Y, ,제주특별자치도 서귀포시 동홍남로 24-4,", 1층(동홍동)",63588,,20260329
T10,제주특별자치도교육청,서귀포시,교습소,3000010705,배영호수학교습소,20141217,20141217,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,중등수학A,보습,"중등수학A:140000, 중등수학B:250000, 고등수학A:150000, 고등수학B:300000",Y,N,제주특별자치도 서귀포시 대정읍 하모중앙로 63,", 4층 (대정읍)",63508,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012091,별그리다미술교습소,20211013,20211013,개원,        ,99991231,45,9,예능(대),예능(중),,미술, ,Y,N,제주특별자치도 서귀포시 신서로 55,", 214동 102호 (강정동, 강정상록아파트)",63559,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016417,보컬유니버스음악교습소,20230810,20230807,개원,        ,        ,0,9,예능(대),예능(중),보컬레슨A(초.중.고),음악,"보컬레슨A(초.중.고):280000, 보컬레슨B(초.중.고):200000",Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 36,B동 403호,63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011944,봉(BONG)수학교습소,20201019,20201012,개원,        ,99991231,30,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 중앙로117번길 3,", 1층 (서홍동)",63584,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016566,부진철뮤직아카데미음악교습소,20240520,20240520,개원,        ,        ,0,7,예능(대),예능(중),"기타,우쿨렐레A",예능(중),"기타,우쿨렐레A:120000, 기타,우쿨렐레B:190000, 작곡:200000, 드럼:190000",Y, ,제주특별자치도 서귀포시 대청로 34,", 상가동 208호(강정동,제주강정유승한내들퍼스트오션)",63559,,20260531
T10,제주특별자치도교육청,서귀포시,교습소,3000018443,부철민영어교습소,20250919,20250919,개원,        ,        ,0,5,입시.검정 및 보습,,,, ,Y, ,제주특별자치도 서귀포시 문부로11번길 21,", 상가 9호(동홍동,휴마루)",63589,,20251012
T10,제주특별자치도교육청,서귀포시,교습소,3000018420,블루그래스영어교습소,20250702,20250702,개원,        ,        ,0,4,국제화,,,, ,Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 36,B동 305호,63644,,20251116
T10,제주특별자치도교육청,서귀포시,교습소,3000012347,비상수학교습소,20230308,20230308,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:142000, 초등수학B:285000, 중등수학:190000",Y,N,제주특별자치도 서귀포시 효돈로 158,(하효동),63606,null,20240407
T10,제주특별자치도교육청,서귀포시,교습소,3000012392,빅터매쓰수학교습소,20230509,20230509,개원,        ,99991231,72,9,입시.검정 및 보습,보통교과,고등수학A/주2회,보습,"고등수학A/주2회:400000, 고등수학B/주2회:400000, 고등수학C/주2회:400000",Y,N,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,", 122호 (대정읍, 이노에듀파크)",63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016499,빌드업수학교습소,20240122,20240122,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,고등수학A,보습,"고등수학A:450000, 고등수학B:500000",Y, ,제주특별자치도 서귀포시 일주동로 8534,3층(동홍동),63587,,20260208
T10,제주특별자치도교육청,서귀포시,교습소,3000016685,생각을말하다논술교습소,20250225,20250225,개원,        ,        ,0,5,입시.검정 및 보습,보통교과,초등논술 A,보습·논술,"초등논술 A:200000, 초등논술 B:240000, 초등논술C:240000",Y, ,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9,117호,63644,,20250323
T10,제주특별자치도교육청,서귀포시,교습소,3000016606,서울대쌤영어교습소,20240830,20240830,개원,        ,        ,0,5,국제화,외국어,중급A,실용외국어(유아/초·중·고),"중급A:180000, 고급A:200000, 고급B:250000, 고급C:300000, 고급D:350000, 고급E:400000, 고급F:150000",Y, ,제주특별자치도 서귀포시 일주동로 8676,(동홍동) 3층,63585,,20241020
T10,제주특별자치도교육청,서귀포시,교습소,3000010991,서진수학교습소,20160607,20160607,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,초등수학(주3회),보습,"초등수학(주3회):100000, 중등수학A(주3회):150000, 중등수학B(주2회):100000, 고등수학A(주3회):180000, 고등수학B(주2회):120000, 고등수학C(주1회):60000",Y,N,제주특별자치도 서귀포시 대정읍 하모중앙로 30,", 2층 (대정읍)",63507,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,2107,선일피아노교습소,20020226,20020226,개원,        ,99991231,45,5,예능(대),예능(중),"피아노 초급(주5회, 월1,200분)",음악,"피아노 초급(주5회, 월1,200분):150000, 피아노 중급(주5회, 월1,200분):162000, 피아노 고급(주5회, 월1,200분):174000",Y,N,제주특별자치도 서귀포시 안덕면 화순중앙로53번길 2,(안덕면),63530,064-794-6531,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011585,셀프이스팀(self-esteem)드럼교습소,20190124,20190121,개원,        ,99991231,20,2,예능(대),예능(중),드럼,음악,드럼:180000,Y,N,제주특별자치도 서귀포시 대정읍 보성구억로 208,", 상가동 103호 (대정읍)",63520,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000011926,솔루션수학교습소,20200901,20200901,개원,        ,99991231,30,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 중앙로 155,", 2층 (서홍동)",63584,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000016732,송티처수학교습소,20250522,20250522,개원,        ,        ,0,5,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:150000, 초등수학B:180000, 중등수학A:240000, 중등수학B:240000, 고등수학A:280000, 고등수학B:320000",Y, ,제주특별자치도 서귀포시 남원읍 남한로 8,201호,63621,,20250608
T10,제주특별자치도교육청,서귀포시,교습소,3000012332,수수에듀수학교습소,20230217,20230210,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,제주특별자치도 서귀포시 동홍서로112번길 7,", 2층 (동홍동)",63588,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000010832,수학나무수학교습소,20150901,20150826,개원,        ,99991231,16,5,입시.검정 및 보습,보통교과,수학(중),보습,"수학(중):250000, 수학(고):300000",Y,N,제주특별자치도 서귀포시 516로 13,(동홍동)201호,63587,,20241208
T10,제주특별자치도교육청,서귀포시,교습소,3000012104,수학당수학교습소,20211108,20211108,개원,        ,99991231,24,3,입시.검정 및 보습,보통교과,"초등수학(1일 120분, 주7회, 월3,360분)",보습,"초등수학(1일 120분, 주7회, 월3,360분):380000, 중등수학(1일 150분, 주7회, 월4,200분):520000, 고등수학(1일 180분, 주7회, 월5,040분):680000",Y,N,제주특별자치도 서귀포시 대정읍 에듀시티로240번길 9,", 113호 (제주아이파크스위트R, 대정읍)",63644,null,20250413
T10,제주특별자치도교육청,서귀포시,교습소,3000016427,수학시간수학교습소,20230824,20230824,개원,        ,        ,0,4,입시.검정 및 보습,,,, ,Y, ,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 8,E동 119호,63644,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012339,수학해냄 허정윤 수학교습소,20230224,20230220,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,"초등수학A(1일 60분, 주5회 월1,200분)",보습,"초등수학A(1일 60분, 주5회 월1,200분):180000, 중등수학A(1일 160분, 주3회 월1,920분):245000, 중등수학B(1일 160분, 주2회 월1,280분):245000, 중등수학C(1일 130분, 주5회 월1,280분):360000, 고등수학A(1일 180분, 주5회 월3,600분):500000, 고등수학B(1일 300분, 주2회 월2,400분):333000",Y,N,제주특별자치도 서귀포시 천제연로 217,", 3층 (중문동, 헤라미용실)",63545,,20231018
T10,제주특별자치도교육청,서귀포시,교습소,3000012380,스터딩수학교습소,20230425,20230425,개원,        ,99991231,90,9,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:114000, 중등수학A:139000, 중등수학B:92000, 고등수학A:150000, 고등수학B:100000",Y,N,제주특별자치도 서귀포시 중산간동로 8048-2,", 2층 (서홍동)",63578,,20260531
T10,제주특별자치도교육청,서귀포시,교습소,3000016511,스테디매쓰수학교습소,20240206,20240206,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:120000, 초등수학B:180000, 중등수학:240000, 고등수학:330000",Y, ,제주특별자치도 서귀포시 대정읍 글로벌에듀로 370,116호,63644,,20240512
