시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
M10,충청북도교육청,괴산군,교습소,3000020614,바른정수학교습소,20250819,20250818,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,충청북도 괴산군 괴산읍 남산1길 41-1,1동 2층 6호,28038,,20260614
M10,충청북도교육청,괴산군,교습소,3000013876,상하영어교습소,20211228,20211228,개원,        ,99991231,63,9,국제화,외국어,초등영어,실용외국어(유아/초·중·고),"초등영어:166500, 초등영어:266400, 중등영어:277500, 고등영어:327600, 초등영어:200000, 중등영어:250000, 고등영어:300000",Y,N,충청북도 괴산군 괴산읍 읍내로2길 40-1,", 2층 (괴산읍)",28030,,20231018
M10,충청북도교육청,괴산군,교습소,3000011184,성균관수학교습소,20140218,20140217,개원,        ,99991231,62,7,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:160000, 중등수학:200000, 고등수학:220000",Y,N,충청북도 괴산군 괴산읍 읍내로4길 12,(괴산읍),28030,null,20250216
M10,충청북도교육청,괴산군,교습소,3000014207,수학여행수학교습소,20230102,20221230,개원,        ,99991231,15,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,충청북도 괴산군 괴산읍 읍내로5길 16,", 3층 (괴산읍)",28035,,20250907
M10,충청북도교육청,괴산군,교습소,3000012416,아이비영어교습소,20170428,20170428,개원,        ,99991231,27,9,국제화,외국어,초등영어,실용외국어(유아/초·중·고),"초등영어:220000, 중등영어:250000, 고등영어:300000",Y,N,충청북도 괴산군 괴산읍 읍내로 248,(괴산읍),28033,043-832-7905,20251214
M10,충청북도교육청,괴산군,교습소,3000014179,이화미술교습소,20221205,20221202,개원,        ,99991231,18,9,예능(대),예능(중),미술(중등)1,미술,"미술(중등)1:67000, 미술(중등)2:134000, 미술(유·초등)1:104000, 미술(유·초등)2:134000",Y,N,충청북도 괴산군 괴산읍 읍내로2길 38,(괴산읍),28030,null,20260329
M10,충청북도교육청,괴산군,교습소,3000014298,채선생수학교습소,20230322,20230322,개원,        ,99991231,10,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,충청북도 괴산군 괴산읍 읍내로2길 44,", 202호 (괴산읍, 대웅식당축산물)",28030,,20231018
M10,충청북도교육청,괴산군,학원,3000012717,NE능률영어학원,20180306,20180306,개원,        ,99991231,90,10,입시.검정 및 보습,보통교과,보습,보습, ,Y,N,충청북도 괴산군 괴산읍 읍내로4길 10,(괴산읍),28030,010-2688-6134,20250316
M10,충청북도교육청,괴산군,학원,3000010942,괴산미술관미술학원,20130624,20130529,개원,20200207,20210306,34,17,예능(대),예능(중),"미술,",미술, ,Y,N,충청북도 괴산군 괴산읍 읍내로 248,", 201호 (괴산읍, 남산농약사)",28033,043-832-8948,20231113
M10,충청북도교육청,괴산군,학원,3000013165,그레이스음악학원,20190802,20190802,개원,        ,99991231,240,24,예능(대),예능(중),음악,음악, ,Y,N,충청북도 괴산군 괴산읍 읍내로4길 49,"(괴산읍, 월드태권도)",28035,043-834-1478,20260614
