시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료,수강료공개여부,기숙사학원여부,도로명주소,도로명상세주소,도로명우편번호,전화번호,수정일자
N10,충청남도교육청,계룡시,교습소,3000019926,21세기영어교습소,20240108,20240108,개원,        ,        ,0,6,입시.검정 및 보습,보통교과,중등프렙A,보습,"중등프렙A:200000, 중등프렙B:210000, 중등영어:250000, 고등프렙A:260000, 고등프렙B:260000, 고등영어A:270000, 고등영어B:280000, 수능영어:300000",Y, ,충청남도 계룡시 두마면 대실남북3길 16,상가동 27호(한라비발디더센트럴),32843,,20260215
N10,충청남도교육청,계룡시,교습소,3000014054,가연독서논술교습소,20190426,20190426,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,충청남도 계룡시 장안로 75,", 204호, 205호 (금암동, 우림루미아트아파트)",32825,,20231018
N10,충청남도교육청,계룡시,교습소,3000015133,계룡더샵뮤엠영어교습소,20220221,20220221,개원,        ,99991231,40,8,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,충청남도 계룡시 두마면 사계로 101,", 원형상가 104호 (두마면, 계룡 더 샵 아파트)",32837,,20231018
N10,충청남도교육청,계룡시,교습소,3000019878,계룡스마트해법수학교습소,20231207,20231207,개원,        ,        ,0,8,입시.검정 및 보습,보통교과,,보습,"초등수학(3일):180000, 초등수학(4일):180000, 초등수학(5일):180000, 중등수학:250000, 초등수학A:170000, 초등수학B:170000",Y, ,충청남도 계룡시 두마면 대실남북3길 16,상가동 2층 34호(한라비발디더센트럴),32843,,20260412
N10,충청남도교육청,계룡시,교습소,3000019830,그림이야기미술교습소,20231031,20231031,개원,        ,        ,0,10,예능(대),,,, ,Y, ,충청남도 계룡시 두마면 대실남북3길 16,상가동 37호(한라비발디더센트럴),32843,,20260201
N10,충청남도교육청,계룡시,교습소,3000020592,리드영어교습소,20250729,20250729,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,초등영어,보습,"초등영어:200000, 중등영어:240000, 고등영어(1학년):300000, 고등영어(2학년):350000, 고등영어(3학년):400000",Y, ,충청남도 계룡시 두마면 사계로7길 4,401호,32835,010-2585-7213,20260614
N10,충청남도교육청,계룡시,교습소,5453,마야미술교습소,20100831,20100825,개원,        ,99991231,81,9,예능(대),예능(중),초(주2회),미술,"초(주2회):92000, 초(주3회):103500, 초(주4회):110400, 미술A반:110000, 미술B반:120000, 미술C반:140000, 미술D반:150000",Y,N,충청남도 계룡시 장안로 75,", 상가동 210호 (금암동, 우림루미아트아파트)",32825,042-840-5544,20231018
N10,충청남도교육청,계룡시,교습소,3000012660,미술아놀자미술교습소,20160621,20160621,개원,        ,99991231,45,9,예능(대),예능(중),미술 고급,미술,"미술 고급:180000, 미술 초급(1):150000, 미술 초급(2):120000",Y,N,충청남도 계룡시 두마면 사계로 101,", 계룡더샵아파트상가동 105호 (두마면, 계룡 더 샵 아파트)",32837,042-841-5677,20251019
N10,충청남도교육청,계룡시,교습소,3000014703,바이올린샘 음악교습소,20210201,20210201,개원,        ,99991231,49,7,예능(대),예능(중),,음악, ,Y,N,충청남도 계룡시 서금암로 10,", 한양아이클래스 114호 (금암동, 계룡한양아이클래스)",32826,,20231018
N10,충청남도교육청,계룡시,교습소,3000019954,비발디피아노교습소,20240126,20240126,개원,        ,        ,0,2,예능(대),,,, ,Y, ,충청남도 계룡시 두마면 대실남북3길 16,상가동 39호(한라비발디더센트럴),32843,,20240128
